インデキシングフラグ,記号,ドット,タイトル
,A,,生活必需品
,A01,,農業；林業；畜産；狩猟；捕獲；漁業
,,,農業
,A01B,,農業または林業における土作業：農業機械または器具の部品，細部または附属具一般（播種，植え付けまたは施肥のための条溝または孔の形成又は覆土Ａ０１Ｃ５／００；根菜作物の収穫機械Ａ０１Ｄ；土作業装置に転換できる，または土作業ができる刈取機Ａ０１Ｄ４２／０４；土作業器具と結合した刈取機Ａ０１Ｄ４３／１２；土木工事のための土作業Ｅ０１，Ｅ０２，Ｅ２１）
,＜索引＞,,手作業道具　１／００
,,,プラウ
,,,一般構造　３／００，５／００，９／００，１１／００
,,,特殊構造　１３／００，１７／００
,,,細部　１５／００
,,,ハロー
,,,一般構造　１９／００，２１／００
,,,特殊構造　２５／００
,,,細部　２３／００
,,,プラウ，ハローまたは同様のものとして使用できる器具　７／００
,,,他の機械　２７／００～４５／００，４９／００，７７／００
,,,機械または作業機の機素または部分品　５９／００～７１／００
,,,農業における運搬　５１／００，７３／００，７５／００
,,,農業機械または器具の部品，細部又は附属具一般　７６／００
,,,土作業のための特殊方法　４７／００，７９／００
,A01B   1/00,,手作業具（芝生の縁切り取り具Ａ０１Ｇ３／０６）
,A01B   1/02,・,鋤；ショベル
,A01B   1/04,・・,歯を有するもの
,A01B   1/06,・,ホー；手持ちカルチベーター
,A01B   1/08,・・,一枚刃を有するもの
,A01B   1/10,・・,二枚刃またはそれ以上の刃を有するもの
,A01B   1/12,・・,歯を有する刃を有するもの
,A01B   1/14,・・,歯のみを有するもの
,A01B   1/16,・,雑草引抜き具
,A01B   1/18,・・,火ばさみ状の道具
,A01B   1/20,・,異った種類の手道具の組み合わせ
,A01B   1/22,・,把手に刃または類似物を取りつけたもの；（道具の把手またはそれらの装着物一般Ｂ２５Ｇ）；交換または調整できる刃
,A01B   1/24,・,牧草または芝生の処理のためのもの［２］
,,,プラウ
,A01B   3/00,,固定刃を有するプラウ
,A01B   3/02,・,人力プラウ
,A01B   3/04,・,畜力プラウ
,A01B   3/06,・・,転換不可能なもの，すなわち，復耕の場合隣接畦を作ることが不可能なもの
,A01B   3/08,・・・,揺動プラウ
,A01B   3/10,・・・,ビームプラウ；単輪プラウ
,A01B   3/12,・・・,二輪ビームプラウ
,A01B   3/14,・・・,フレームプラウ
,A01B   3/16,・・,転換できるプラウ，すなわち，復耕の場合隣接畦を作ることが可能なもの
,A01B   3/18,・・・,双用プラウ
,A01B   3/20,・・・,平衡プラウ
,A01B   3/22,・・・,転換できるように用いられる並列プラウ機構を有するもの
,A01B   3/24,・,トラクタ用牽引プラウ（Ａ０１Ｂ３／０４が優先）
,A01B   3/26,・・,転換できないもの
,A01B   3/28,・・,転換できるプラウ
,A01B   3/30,・・・,双用プラウ
,A01B   3/32,・・・,平衡プラウ
,A01B   3/34,・・・,転換できるように用いられる並列プラウ機構を有するもの
,A01B   3/36,・,トラクタ装備用プラウ
,A01B   3/38,・・,転換できないもの
,A01B   3/40,・・,転換できるプラウ
,A01B   3/42,・・・,双用プラウ
,A01B   3/421,・・・・,一体として作られた軸承枠を有するもの［２］
,A01B   3/426,・・・・,二以上の部分からなる軸承枠を有するもの［２］
,A01B   3/44,・・・,転換できるように用いられる並列プラウ機構を有するもの
,A01B   3/46,・,一部をトラクタに，残りを自身の車輪で支持するプラウ
,A01B   3/50,・,自己推進されるプラウ
,A01B   3/52,・・,三つ以上の車輪または無限軌道によるもの
