インデキシングフラグ,記号,ドット,タイトル
,B,,処理操作；運輸
,B01,,物理的または化学的方法または装置一般
,,,分離；混合
,＜注＞,,以下に示す注は，分類表のこの部分での使用を助ける；これらは，いかなる場合にも修正して読むべきでない。
,,,（１）このサブセクションにおいて，異なる材料，例．異なる物質，大きさ，または状態，に関する分離は次のサブクラスに優先的に分類される：
,,,Ｂ０１Ｄ
,,,Ｂ０３Ｂ，Ｂ０３Ｃ，Ｂ０３Ｄ
,,,Ｂ０４Ｂ，Ｂ０４Ｃ
,,,Ｂ０７Ｂ，Ｂ０７Ｃ
,,,（２）これらのサブクラスの分類上の特徴は，以下のごとくである：
,,,（ｉ）分離されるべき物質の物理的状態
,,,（ｉｉ）採用される方法の原理
,,,（ｉｉｉ）特別な種類の装置
,,,これらの特徴の第１番目のものは，３つのグループに集められる６つの異なった観点を含んでいる。
,,,（ａ）液体―液体または液体―気体および気体―気体
,,,（ｂ）固体―液体または固体―気体
,,,（ｃ）固体―固体
,,,（３）これらのサブクラスは，以下の一般的規則に従って用いられる：
,,,―Ｂ０１Ｄは，固体―固体以外の分離が関係するかぎり最も一般的なサブクラスとなる。
,,,―固体から固体を分離する装置は，たとえその装置が空気力のもの，特に風力テーブルまたは風力ジグ，であってもその関係する工程が鉱山技術の意味で“洗鉱”に相当するものとみなされる場合はＢ０３Ｂに包含される。ふるいそれ自体はこのサブクラスには包含されず，たとえそれが湿式法に用いられても，Ｂ０７Ｂに分類される。乾式法による固体から固体を分離するすべての他の装置はＢ０７Ｂに分類される。
,,,―もし，分離が，選別されるべき材料または物品のある特性を検出または測定した結果として起こるならば，それはＢ０７Ｃに分類される。
,,,―また，同位元素の分離は，どのような方法または装置が用いられようとも，Ｂ０１Ｄ５９／００に分類することに注意すべきである。
,＜索引＞,,液体／液体，液体／気体，または気体／気体の分離
,,,方法
,,,一般　Ｂ０１Ｄ
,,,遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ
,,,磁気または静電気効果を用いるもの　Ｂ０３Ｃ
,,,装置
,,,一般　Ｂ０１Ｄ
,,,遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ
,,,磁気または静電気効果を用いるもの　Ｂ０３Ｃ
,,,固体／液体または固体／気体の分離
,,,方法
,,,一般　Ｂ０１Ｄ
,,,遠心力によるもの　Ｂ０１Ｄ
,,,遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ
,,,磁気または静電気効果を用いるもの　Ｂ０３Ｃ
,,,装置
,,,一般　Ｂ０１Ｄ
,,,遠心力によるもの　Ｂ０１Ｄ
,,,遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ
,,,磁気または静電気効果を用いるもの　Ｂ０３Ｃ
,,,固体／固体の分離
,,,方法
,,,乾式法
,,,一括分級一般　Ｂ０７Ｂ
,,,個別分級　Ｂ０７Ｃ
,,,篩にかけるもの，空気力分級　Ｂ０７Ｂ
,,,風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ
,,,磁気効果または静電気効果によるもの　Ｂ０３Ｃ
,,,遠心力によるもの　Ｂ０７Ｂ
,,,遠心分離器または自由渦装置を用いるもの　Ｂ０７Ｂ
,,,湿式法
,,,一般　Ｂ０３Ｂ
,,,浮遊選別，差別沈降　Ｂ０３Ｄ
,,,篩にかけるもの　Ｂ０７Ｂ
,,,結合＝乾式法－湿式法　Ｂ０３Ｂ
,,,固体／固体の分離
,,,装置
,,,乾式法
,,,一括分級一般　Ｂ０７Ｂ
,,,個別分級　Ｂ０７Ｃ
,,,篩にかけるもの，空気力分級　Ｂ０７Ｂ
,,,風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ
,,,磁気効果または静電気効果によるもの　Ｂ０３Ｃ
,,,遠心力によるもの　Ｂ０７Ｂ
,,,遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ
,,,湿式法
,,,一般　Ｂ０３Ｂ
,,,浮遊選別，差別沈降　Ｂ０３Ｄ
,,,篩にかけるもの　Ｂ０７Ｂ
,,,結合＝乾式法－湿式法　Ｂ０３Ｂ
,B01B,,沸騰；沸騰装置
,B01B   1/00,,沸騰；物理的または化学的目的のための沸騰装置（でん粉の製造Ｃ０８Ｂ３０／００；糖工業Ｃ１３；蒸気発生Ｆ２２；家庭用ボイラーＦ２４）［２］
,B01B   1/02,・,発泡防止（一般Ｂ０１Ｄ１９／０２）
,B01B   1/04,・・,化学的手段によるもの
,B01B   1/06,・,突沸防止
,B01B   1/08,・,還流凝縮器つき沸騰装置
,B01D,,分離（湿式法による固体と固体の分離Ｂ０３Ｂ，Ｂ０３Ｄ；風力ジグまたは風力テーブルによるものＢ０３Ｂ；他の乾式法によるものＢ０７；磁気または静電気による分離，高圧電界による分離Ｂ０３Ｃ；遠心分離機Ｂ０４Ｂ；渦装置Ｂ０４Ｃ；液体含有物から液体を絞り出すためのプレスそれ自体Ｂ３０Ｂ９／０２）［５］
,＜注＞,,（１）このサブクラスは以下のものを包含する：
,,,―蒸発，蒸留，晶析，ろ過，粉末の沈降，気体の洗浄，吸収，吸着；
,,,―分離に関係ないかまたはそれのみに制限されない類似の方法を含む（吸収または吸着の場合を除く）。
,,,（２）このサブグラスにおいては，下記の用語または表現は以下に示す意味で用いる：  
,,,―“ろ過”および類似した用語は流体から固体を濾すことを含む。ろ過とは，通常，ろ過媒体を用いた処理である。；
,,,―“ろ過媒体”は流体から固体をろ過するため用いられる多孔性物質または物質の多孔性配列である；
,,,―“ろ過体”は媒体が取り外し自在にまたは永続的に取付けられる部品のほか，ろ過媒体の一部分であって，媒体の他の部分，末端のふた，外周の枠または端近の細片を含む。ただし，ハウジングは除く；［５］
,,,―“ろ過装置のハウジング”は流体を閉じこめる不浸透容器で，開放または閉鎖を問わず，その内部に１つ以上のろ過体またはろ過媒体を含み，または含むために設けられるものである；［５］
,,,―“ろ過室”はハウジング内の空間であり，ろ過体またはろ過媒体が入れられる。仕切りによって単一のハウジングが複数の室に分割されている；［５］
,,,―“ろ過装置”はハウジングと組み合わされたろ過体，清掃装置，モーターまたは類似の部品からなり，それらは装置の特殊な型を特徴づけている。ポンプまたはバルブのような付属装置はろ過装置内部にあるときはその部品と考えられる。粉砕機，混合機または非ろ過分離機のような類似または異なる単位操作を行なう付属装置は，ろ過装置内にあろうとなかろうと，その部品とは考えない。用語は例えば，ろ過機がその一部品にすぎない洗濯機のような装置にまでは及ばない。［５］
,,,（３）乾燥または蒸発に用いる装置に関しては，クラスＦ２６が，このサブクラスに優先する。
,,,（４）グループＢ０１Ｄ５９／００は，このサブクラスの他のグループおよびクラスＢ０１の他のサブクラスに優先する。
,＜索引＞,,蒸発；蒸留；昇華　１／００；３／００；５／００；７／００
,,,コールドトラップ，コールドバッフル　８／００
,,,晶析　９／００
,,,溶剤抽出　１１／００
,,,液体の処理：置換，吸着，分離，脱気，クロマトグラフィー　１２／００，１５／００，１７／００，１９／００［８］
,,,ガスまたは蒸気の処理：廃ガスの分離，回収，化学的または生物学的浄化　５３／００
,,,液体から懸濁粒子の分離
,,,沈でんによるもの　２１／００
,,,ろ過によるもの
,,,工程　３７／００
,,,重力ろ過機；ろ過体から構成されたろ過機，加圧または吸引ろ過機　２４／００；２５／００，２９／００
