インデキシングフラグ,記号,ドット,タイトル
,C,,化学；冶金
1,＜注＞,,（１）セクションＣにおいて，化学元素の種類に関する定義は次の通りである：
,,,アルカリ金属：Ｌｉ，Ｎａ，Ｋ，Ｒｂ，Ｃｓ，Ｆｒ
,,,アルカリ土類金属：Ｃａ，Ｓｒ，Ｂａ，Ｒａ
,,,ランタニド：原子番号５７から７１までの元素
,,,希土類：Ｓｃ，Ｙ，ランタニド
,,,アクチニド：原子番号８９から１０３までの元素
,,,耐火金属：Ｔｉ，Ｖ，Ｃｒ，Ｚｒ，Ｎｂ，Ｍｏ，Ｈｆ，Ｔａ，Ｗ
,,,ハロゲン：Ｆ，Ｃｌ，Ｂｒ，Ｉ，Ａｔ
,,,希ガス：Ｈｅ，Ｎｅ，Ａｒ，Ｋｒ，Ｘｅ，Ｒｎ
,,,白金族：Ｏｓ，Ｉｒ，Ｐｔ，Ｒｕ，Ｒｈ，Ｐｄ
,,,貴金属：Ａｇ，Ａｕ，白金族
,,,軽金属：アルカリ金属，アルカリ土類金属，Ｂｅ，Ａｌ，Ｍｇ
,,,重金属：軽金属以外の金属
,,,鉄族：Ｆｅ，Ｃｏ，Ｎｉ
,,,非金属：Ｈ，Ｂ，Ｃ，Ｓｉ，Ｎ，Ｐ，Ｏ，Ｓ，Ｓｅ，Ｔｅ，希ガス，ハロゲン
,,,金属：非金属以外の元素
,,,遷移元素：原子番号２１から３０まで，３９から４８まで，５７から８０まで，８９以上の元素
,,,（２）Ｃセクションは以下のものを包含する：
,,,（ａ）無機化合物，有機化合物，高分子化合物およびそれらの調製法を包含する純粋化学；
,,,（ｂ）たとえばガラス，セラミック，肥料，プラスチック組成物，ペイント，石油工業の製品のような上記化合物を含有する組成物を包含する応用化学。それはまた，爆発物，染料，接着剤，潤滑剤および洗剤のように，ある目的に適した特別の性質をもつための組成物をも包含する；
,,,（ｃ）コークスの製造，固体または気体燃料の製造，油脂およびろうの製造および精製，発酵工業（例．ビールおよびぶどう酒の製造），製糖工業のようなある境界工業；
,,,（ｄ）ある操作または処理であって，純粋に機械的な処理，例．レザーおよび皮の機械的処理，または部分的機械的処理，例．水処理，または腐食防止一般であるもの；
,,,（ｅ）冶金，鉄または非鉄合金
,,,（３）ＩＰＣの全てのセクションにおいて，相反する指示がない限り，元素記号周期表への言及は，以下に示す１８のグループを表す。［２００９．０１］
,,,「図」
