インデキシングフラグ,記号,ドット,タイトル
,D,,繊維；紙
,＜注＞,,このセクションにおいては，下記の用語は以下に示す意味で用いる：
,,,―“繊維”は比較的短く，細長い天然または人造の物質よりなるものを意味する；［２０１４．０１］
,,,―“フィラメント”はエンドレスまたは準エンドレスで，細長い天然または人造の物質よりなるものを意味する；［２０１４．０１］
,,,―“糸”は繊維の単一の集合体を意味し，通常紡績によって製造される；［２０１４．０１］
,,,―“より糸”は糸またはフィラメントの集合体を意味し，通常加ねんによって製造される；［２０１４．０１］
,,,―“合成”繊維またはフィラメントはポリマーまたは低分子を合成させたものから製造される繊維またはフィラメントまたは類似物を意味する。例は，ポリアミド，アクリル，ポリエステルまたは炭素繊維である；［２０１４．０１］
,,,―“人工”繊維またはフィラメントは天然ポリマーまたはその派生物から人が製造した繊維またはフィラメントまたは類似物を意味する。例は，再生セルロース繊維または半合成繊維である；［２０１４．０１］
,,,―“人造”繊維またはフィラメントは人が製造した繊維またはフィラメントを意味し，“合成”繊維または“人工”繊維を含む。［２０１４．０１］
,D01,,天然または人造の糸または繊維；紡績
,＜注＞,,このクラスにおいては，下記の用語は以下に示す意味で用いる：
,,,―“繊維”は比較的短く，細長い天然または人造の物質よりなるものを意味する；
,,,―“フィラメント”はエンドレスまたは準エンドレスで，細長い天然または人造の物質よりなるものを意味する；
,,,―“糸”は繊維の単一の集合体を意味し，通常紡績によって製造される；
,,,―“より糸”は糸またはフィラメントの集合体を意味し，通常加ねんによって製造される；
,,,―“合成”繊維またはフィラメントはポリマーまたは低分子を合成させたものから製造される繊維またはフィラメントまたは類似物を意味する。例は，ポリアミド，アクリル，ポリエステルまたは炭素繊維である；［２０１４．０１］
,,,―“人工”繊維またはフィラメントは天然ポリマーまたはその派生物から人が製造した繊維またはフィラメントまたは類似物を意味する。例は，再生セルロース繊維または半合成繊維である；［２０１４．０１］
,,,―“人造”繊維またはフィラメントは人が製造した繊維またはフィラメントを意味し，“合成”繊維または“人工”繊維を含む。［２０１４．０１］
,,,繊維または他に分類されない可とう性材料
,D01B,,繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の機械的処理，例．紡績用（鉱石からの石綿の抽出Ｂ０３Ｂ；浸水装置Ｄ０１Ｃ）
,＜注＞,,クラスＤ０１のタイトルに続く注に注意すること。
,＜索引＞,,植物材料の処理
,,,植物材料からの繊維の分離　１／００
,,,ハックリングまたは櫛梳機械　５／００
,,,動物繊維の処理
,,,バー取り，洗浄，精練　３／００
