インデキシングフラグ,記号,ドット,タイトル
,E,,固定構造物
,E01,,道路，鉄道または橋りょうの建設
,,,建造物
,E01B,,軌道；軌道用の工具；あらゆる種類の鉄道建設用機械（軌道上の脱線または復帰ブロック，軌道制動またはリターダＢ６１Ｋ；軌道からの異物の除去，除草，液体の散布Ｅ０１Ｈ）
,＜索引＞,,軌道の構造
,,,一般的構造　２／００
,,,道床，横または縦まくら木　１／００，３／００
,,,一般軌道用レールまたは転てつ器　５／００～１３／００，２６／００
,,,特殊軌道用レールまたは転てつ器　２１／００～２６／００
,,,保護装置　１５／００～１９／００
,,,道床または軌道の敷設，維持，更新，または取りはずし　２７／００～３７／００
,,,鉄道または路面鉄道の軌道の構造
,E01B   1/00,,道床；まくら木または軌道を支持するその他の装置；道床の排水（溝，暗きょまたは導管による排水Ｅ０１Ｆ５／００）
,E01B   2/00,,軌道の一般的構造（軌条網Ｂ６１Ｂ１／００；舗装のための基礎Ｅ０１Ｃ３／００；基礎一般Ｅ０２Ｄ）
,E01B   3/00,,横または縦まくら木（転てつ器または交さ用Ｅ０１Ｂ７／２２）；レールを支持するために道床上に直接載置するその他の装置
,E01B   3/02,・,木製のもの（乾燥または注入Ｂ２７Ｋ）
,E01B   3/04,・・,切り裂け防止装置
,E01B   3/06,・・・,ひび割れ防止犬くぎ
,E01B   3/08,・・・,まくら木に巻きつける条帯（木製の鉄道まくら木に現場で巻きつける装置Ｅ０１Ｂ３１／２８）
,E01B   3/10,・・,集成まくら木
,E01B   3/12,・・,縦まくら木；タイロッドで組み立てられた縦まくら木；縦横結合のまくら木
,E01B   3/14,・・,板（スラブ）；ブロック；それらとタイロッドとの固定
,E01B   3/16,・,鋼製のもの
,E01B   3/18,・・,集成まくら木
,E01B   3/20,・・,特殊なまくら木構造，例．道床作業用の開口のあるもの（重量物用移動軌道に用いるまくら木Ｅ０１Ｂ２３／１２）
,E01B   3/22,・・,縦まくら木；タイロッドで組み立てられた縦まくら木；縦横結合のまくら木
,E01B   3/24,・・,板（スラブ）；ブロック；ポットまくら木；それらとタイロッドとの固定
,E01B   3/26,・・,木，人造石またはその他の材料のそう入物と組み合わせたもの
,E01B   3/28,・,コンクリート製または天然石または人造石製のもの（製造Ｂ２８）
,E01B   3/30,・・,中空まくら木
,E01B   3/32,・・,表面が保護されたものまたは補強されたもの（中空まくら木Ｅ０１Ｂ３／３０）
,E01B   3/34,・・・,プレストレスを与えたもの（プレストレスを与えるための補強要素Ｅ０４Ｃ５／００）
,E01B   3/36,・・,集成まくら木
,E01B   3/38,・・,縦まくら木；タイロッドで組み立てられた縦まくら木；縦横結合のまくら木；両レールを支持するコンクリート層
,E01B   3/40,・・,板（スラブ）；ブロック；ポットまくら木；それらとタイロッドとの固定
,E01B   3/42,・・,木またはその他の材料のそう入物と組み合わせたもの
,E01B   3/44,・,材料が要点である場合に限り，その他の材料からなるもの
,E01B   3/46,・,複数の異なる材料からなるもの（Ｅ０１Ｂ３／２６，Ｅ０１Ｂ３／４２が優先）
,E01B   3/48,・,まくら木の間隔保持材またはタイロッド
,E01B   5/00,,レール；ガードレール（レールの製造Ｂ２１Ｂ）；レールやガードレールの間隔保持装置
,E01B   5/02,・,レール
,E01B   5/04,・・,みぞレール
,E01B   5/06,・・,可逆または可倒レール
,E01B   5/08,・・,集成レール；取りはずしまたは固定部分をもつ合成レール
,E01B   5/10,・・・,集成みぞ付きレール；みぞ付きレール用そう入物
,E01B   5/12,・・,まくら木として作用する底板をもつレール
,E01B   5/14,・・,軌道の特殊部分用のレール，例．曲線用
,E01B   5/16,・,間隔保持材
,E01B   5/18,・,ガードレール；ガードレール用の連結，固定または調節装置
,E01B   7/00,,転てつ器；交さ（作動機構Ｂ６１Ｌ）
,E01B   7/02,・,トングレール；組み合わせ構造のもの
,E01B   7/04,・・,端部の垂直軸のまわりを回動するトングをもつ構造のもの
,E01B   7/06,・・,可とうトングまたは可とう継ぎ目板をもつ構造のもの
,E01B   7/08,・・,トングレールの他の構造のもの，例．レールと平行な軸のまわりに傾くもの，可動トングブロックまたはレール
,E01B   7/10,・,てっさ（フロッグ）
,E01B   7/12,・・,単一部分または複合部分からなる固定てっさ（固定フロッグ）
,E01B   7/14,・・,可動部分をもつもの
,E01B   7/16,・・,乗り越してっさ（乗り越しフロッグ）
,E01B   7/18,・,わたり線付交さ
,E01B   7/20,・,転てつ器用安全装置，例．トングレール保護装置，補助または誘導レール部材
,E01B   7/22,・,転てつ器または交さ用特殊まくら木；それらの固定装置
,E01B   7/24,・,転てつ器の加熱
,E01B   7/26,・,転てつ器の注油（レールの注油Ｂ６１Ｋ３／００）
,E01B   7/28,・,交さ
,E01B   7/30,・・,乗り越し交さ
,E01B   9/00,,レールのまくら木または類似のものへの固定（レールの橋への固定Ｅ０１Ｄ１９／１２）
,E01B   9/02,・,まくら木または基礎上への座板（タイプレート），チェアまたはレールの直接固定；そのための装置
,E01B   9/04,・・,木製またはコンクリート製まくら木または石材上へのクランプ部材を使用しない固定
,E01B   9/06,・・・,鉄道用犬くぎ（くぎ一般Ｆ１６Ｂ）
,E01B   9/08,・・・・,ばねくぎ
,E01B   9/10,・・・,まくら木用ねじくぎまたはボルト（ねじまたはボルト一般Ｆ１６Ｂ）
,E01B   9/12,・・・,犬くぎまたはねじくぎ用の保持または固定装置
,E01B   9/14,・・・,まくら木の穴用のせん，スリーブ，ねじせんまたはその他のそう入物（せんまたはスリーブのそう入Ｅ０１Ｂ３１／２６）
,E01B   9/16,・・・・,木製まくら木用のもの
,E01B   9/18,・・・・,コンクリート製まくら木用のもの
,E01B   9/20,・・・,くさびによるもの
,E01B   9/22,・・,鋼製まくら木上へのクランプ部材を使用しない固定
,E01B   9/24,・・・,くさびによるもの
,E01B   9/26,・・・,溶接固定
,E01B   9/28,・・,木製またはコンクリート製まくら木または石材上へのクランプ部材を使用しての固定
,E01B   9/30,・・・,鋼製弾性クリップによるもの
,E01B   9/32,・・,鋼製まくら木上へのクランプ部材を使用しての固定
,E01B   9/34,・・・,鋼製弾性クリップによるもの
,E01B   9/36,・・,まくら木に直接固定されるレール用の金属製底板（ソールプレート）
,E01B   9/38,・,座板（タイプレート）またはチェアを用いたレールの間接固定；座板（タイプレート）上またはチェア内へのレールの固定
,E01B   9/40,・・,平底レール用の座板（タイプレート）（そのための製造Ｂ２１）
,E01B   9/42,・・・,二個以上の部品からなるもの
,E01B   9/44,・・,座板（タイプレート）上のレールの固定
,E01B   9/46,・・・,クランプによるもの
,E01B   9/48,・・・・,鋼製弾性クリップによるもの
,E01B   9/50,・・・,くさびによるもの
,E01B   9/52,・・・・,弾性くさびによるもの
,E01B   9/54,・・,レールチェア
