インデキシングフラグ,記号,ドット,タイトル
,F,,機械工学；照明；加熱；武器；爆破
,F01,,機械または機関一般；機関設備一般；蒸気機関
,,,機関またはポンプ
,＜注＞,,このサブセクション（クラスＦ０１からＦ０４）の利用のための手引き
,,,以下の注は，この部分の分類体系の利用を助けるためのものである；これらはいかなる場合にも分類体系を変更するものとして解釈すべきではない。
,,,（１）このサブセクションにおいては，“機関”または“ポンプ”を明示するサブクラスまたはグループは，他に特に分類されない限りそれらの操作方法を包含する。
,,,（２）このサブセクションにおいては，下記の用語または表現は以下に示す意味で用いる：
,,,―“機関”は流体エネルギを連続的に機械的動力に変換する装置を意味する。それ故，この語はそれ自体で，たとえば蒸気ピストン機関，蒸気タービン，または，内燃機関を含むが，一行程装置を除外する。“機関”はまた，それが特に計器に用いるのに適しているものを除き計器の流体作動部分をも包含する；
,,,―“ポンプ”は機械的または他の手段によって流体を連続的に押し揚げ，押圧し，圧縮または排出する装置を意味する；そしてこの用語はファンまたは送風機を含む；
,,,―“機械”は同様に機関およびポンプであり得る装置を意味し，かつ機関に限定された装置またはポンプに限定されたものを意味しない；
,,,―下線のある語“および”は主題事項が語“および”によって結合されたどちらかの語の一方に限定されない場合にのみ引用する；
,,,―“容積形”は，作動流体エネルギの機械的エネルギへの変換およびその逆の変換において，作動流体の内容積変化が機械部材の変位に相当し，流体の動的影響が重要でないエネルギ変換方法を意味する；
,,,―“非容積形”は，作動流体エネルギの運動エネルギへの変換によって，作動流体のエネルギを機械的エネルギに変換する方法を意味する；その逆の変換の場合も同様である；
,,,―“揺動ピストン機械”とは流体と係合する仕事伝達部材が揺動する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；
,,,―“回転ピストン機械”とは流体と係合する仕事伝達部材が固定軸のまわりに，もしくは円または同様の軌道に沿って移動する軸のまわりに，回転する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；
,,,―“回転ピストン”とは回転ピストン機械の仕事伝達部材を意味し，適当な形式のもの，例．歯車のようなもの，でよい；
,,,―“共動部材”とは揺動ピストンまたは回転ピストンと，駆動作用またはポンプ作用を補助する他の部材，例．作動室壁，とを意味する；
,,,―“共動部材の運動”は，相対的，すなわち，たとえ文面上は“回転軸”とされていても，共動部材の一方は静止していることもあり，両方とも動くこともあると解釈すべきである；
,,,―“歯または歯に相当する部分”とは突出部，突起部，または係合部を含む；
,,,―“内部軸”形式とは内外の共動部材の回転軸がつねに外側部材内にあることを意味する，例．環状歯車の内歯とかみ合うピニオンと類似の態様であるもの
,,,―“自由ピストン”は行程の長さがそれによって駆動される部材によって限定されないピストンを意味する；
,,,―“シリンダ”は容積形作動室一般を意味し，そしてこの用語は円形断面のシリンダに限定されない；
,,,―“主軸”はピストンの往復運動を回転運動にまたはその反対に変換する軸を意味する；
,,,―“設備”は機関と機関を運転するのに必要な付加的装置を一緒にした意味である。たとえば，蒸気機関設備は蒸気機関および蒸気発生装置を含む；
,,,―“作動流体”はポンプにおける被駆動流体または機関における駆動流体を意味する。作動流体は圧縮性流体と呼ばれる圧縮性のガス体、例．蒸気、または液体でありうる。あるいは圧縮性流体と液相の共存も可能である。
,,,―“蒸気”は凝縮性蒸気一般を含み，また“特殊蒸気”は水蒸気以外の場合に用いる；
,,,―非容積形機械または機関に適用される“反動形”は圧力―速度変換が完全にまたは部分的に回転子において行なわれる機械または機関を意味し；回転子内における圧力―速度変換が全くないかわずかである機械または機関は“衝動形”と称する。
,,,（３）このサブセクションにおいては：
,,,―周期的に作動する弁，潤滑，ガス流消音器もしくは排気装置，または冷却はそれらの記述された応用に関係なくＦ０１Ｌ，Ｆ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。ただしその分類の特徴がその応用に独特のものであるならば，その場合Ｆ０１ないしＦ０４の関連したサブクラスのみに分類する；
,,,―機械または機関の潤滑，ガス流消音器もしくは排気装置，または冷却はＦ０１Ｂに分類される蒸気機関に特有なものを除いてＦ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。
,,,（４）このサブセクションを十分に理解して利用するため，この骨格をなす，Ｆ０１Ｂ，Ｆ０１Ｃ，Ｆ０１Ｄ，Ｆ０３ＢおよびＦ０４Ｂ，Ｆ０４Ｃ，Ｆ０４Ｄ，に関するかぎり
,,,―この分類表に存在する原則；
,,,―その要求する分類の特徴；および
,,,―その補足
,,,を記憶しておくことが肝要である。
,,,（ｉ）原則
,,,これは上に挙げたサブグラスに本質的に関連している。より限定された事項を包含する他のサブグラス，特にＦ０２のものはここで考慮しない。
,,,各サブグラスは基本的に装置（機関またはポンプ）の類を包含し，また拡張によって同種の“機械”を同様に包含する。それ故に一方が他方より，より一般的性質を有する，２つの異なった主題は同じサブグラスに包含される。
,,,サブクラスが包含する２つの異なった主題の範囲をこえて，サブクラスＦ０１Ｂ，Ｆ０３Ｂ，Ｆ０４Ｂはさらに関連した類での異なった種類の装置に関係する他のサブクラスに関して一般性を有する。
,,,この一般性は，つねに同じサブクラスに関するものを除いて，異なった２つの主題の取り扱いに対しても同様に適用する。
,,,それ故，Ｆ０３Ｂはその機械を扱う部分においてＦ０４Ｂ，Ｆ０４Ｃに関する一般的クラスとして，および，その機関を扱う部分においてＦ０３Ｃに関する一般的クラスとして考えられるべきである。
,,,（ｉｉ）特徴
,,,（ａ）サブグラスの主要な分類の特徴には機械；機関；ポンプの３つの可能性がある装置を級付けしていることである。
,,,（ｂ）上記のごとく，“機械”はつねに他の２つの一方と関連している。
,,,これらの主分類は装置の一般的作動理論に従って：
,,,容積形；非容積形
,,,に再分類される。
,,,（ｃ）容積形装置は作用理論を奏功する方法，すなわち，装置の種類に従って：
,,,単純往復ピストン；回転または揺動ピストン；その他
,,,にさらに再分類される。
,,,（ｄ）他の分類の特徴は，すなわち：
,,,液体および圧縮性流体；圧縮性流体；流体の３種の装置が可能である，作動流体に関するものである。
,,,（ｉｉｉ）補足
,,,これは，装置または作動流体の種類に関し考慮のうえ特徴に従って，上に挙げたサブクラスの対との関連において存在する。
,,,種々の原則，特徴，補足と関連するサブクラスが下記のサブセクション内の索引に示されている。
,,,次のようなことが索引から理解される。
,,,―与えられた類の中の同種の装置に対して，“作動流体”の特徴が関連している：
,,,Ｆ０１ＢおよびＦ０４Ｂ　機械
,,,Ｆ０１ＣおよびＦ０４Ｃ　機械
,,,Ｆ０１ＤおよびＦ０３Ｂ　機械
,,,Ｆ０１ＢおよびＦ０３Ｃ　機関
,,,Ｆ０１ＣおよびＦ０３Ｃ　機関
,,,Ｆ０１ＤおよびＦ０３Ｂ　機関
,,,―同じ種類の作動流体に対して，“装置”の特徴が相対的一般性から考えて同様にサブクラスに関連する。
,＜索引＞,,機械
,,,　容積形
,,,　回転または揺動ピストン
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｃ
,,,　　流体のみ　Ｆ０４Ｃ
,,,　往復ピストンまたはその他
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｂ
,,,　　流体のみ　Ｆ０４Ｂ
,,,　非容積形
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｄ
,,,　　流体のみ　Ｆ０３Ｂ
,,,機関
,,,　容積形
,,,　回転または揺動ピストン
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｃ
,,,　　流体のみ　Ｆ０３Ｃ
,,,　往復ピストンまたはその他
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｂ
,,,　　流体のみ　Ｆ０３Ｃ
,,,　非容積形
,,,　　液体および弾性流体または弾性流体　Ｆ０１Ｄ
,,,　　流体のみ　Ｆ０３Ｂ
,,,ポンプ
,,,　容積形
,,,　　回転または揺動ピストン　Ｆ０４Ｃ
,,,　　往復ピストンまたはその他　Ｆ０４Ｂ
,,,　非容積形　Ｆ０４Ｄ
,F01B,,機械または機関，例．蒸気機関，一般または容積形のもの（回転形ピストンまたは揺動ピストン形のものＦ０１Ｃ；非容積形のものＦ０１Ｄ；燃焼機関Ｆ０２；往復動ピストン式機関の内部燃焼に関するものＦ０２Ｂ５７／００，Ｆ０２Ｂ５９／００；液体用機械Ｆ０３，Ｆ０４；クランク軸，クロスヘッド，連接棒Ｆ１６Ｃ；はずみ車Ｆ１６Ｆ；回転運動と往復運動の変換用装置一般Ｆ１６Ｈ；機関用ピストン，ピストン棒，シリンダ一般Ｆ１６Ｊ）
,＜注＞,,（１）このサブクラスは，サブクラスＦ０１ＣからＦ０１Ｐに分類される事項を除いた以下のものを包含する：
,,,―圧縮性流体用機関，例．蒸気機関；
,,,―液体および圧縮性流体用機関；
,,,―圧縮性流体用機械；
,,,―液体および圧縮性流体用機械。
,,,（２）特に“蒸気”および“特殊蒸気”の定義に関しては，クラスＦ０１の前の注に注意すること。
,＜索引＞,,機械または機関
,,,往復動ピストンをそなえたもの
,,,ピストンの数と配置を特徴とするもの　１／００
,,,主軸に対するシリンダ軸の配置を特徴とするもの　３／００，５／００
,,,同一または共軸シリンダ内を往復動するピストンを特徴とするもの；上記以外のピストン―主軸連結を特徴とするもの　７／００，１／０８；９／００
,,,回軸主軸の無いことを特徴とするもの　１１／００
,,,シリンダの回転または他の運動を特徴とするもの　１３／００，１５／００
,,,ユニフロー理論を特徴とするもの　１７／００
,,,容積形で可とう壁をそなえたことを特徴とするもの　１９／００
,,,機械または機関の組み合わせまたは応用　２１／００，２３／００
,,,調節，制御，安全装置；始動　２５／００；２７／００
,,,他の特徴，細部または付属品　２９／００；３１／００
,F01B   1/00,,シリンダの数またはその配置，または別個のシリンダクランクケース要素の組み合わせを特徴とする往復ピストン機械または機関（Ｆ０１Ｂ３／００，Ｆ０１Ｂ５／００が優先）［２］
,F01B   1/01,・,単一のシリンダをもつもの［２］
,F01B   1/02,・,シリンダがすべて一線上にあるもの
,F01B   1/04,・,シリンダがＶ形に配置されたもの
,F01B   1/06,・,シリンダが星形またはファン形に配置されたもの
,F01B   1/08,・,シリンダが主軸に対して反対側に配置されたものおよび“平形”
,F01B   1/10,・,２つ以上の主軸をもつもの，例．共通の出力軸に連結されたもの（２つ以上の機械または機関の組み合わせＦ０１Ｂ２１／００）
,F01B   1/12,・,別個のシリンダクランクケース要素を組み合わせて一体に形成したもの
,F01B   3/00,,主軸と同軸，または平行または傾斜したシリンダ軸をもった往復ピストン機械または機関
,F01B   3/02,・,揺動板をもつもの
,F01B   3/04,・,ピストン運動が曲面によって伝達されるもの
,F01B   3/06,・・,多重ら旋面をもつものおよび自動逆転
,F01B   3/08,・・・,ら旋がピストン上に配置されたもの
,F01B   3/10,・,作動流体の供給排出の制御（一般用に適するものＦ０１Ｌ）
,F01B   5/00,,実質的に主軸を中心とする円に接線方向に配置されたシリンダをもつ往復ピストン機械または機関
,F01B   7/00,,同一シリンダ内または本質的に共軸のシリンダ内を往復する２つ以上のピストンをもった機械または機関（主軸に関して反対方向に配置したものＦ０１Ｂ１／０８）
,F01B   7/02,・,反対方向に往復するピストンをもつもの
,F01B   7/04,・・,同じ主軸に作用するもの
,F01B   7/06,・・・,往復運動を回転運動にまたはその逆に変換するため連接棒のみを用いるもの
,F01B   7/08,・・・・,サイドロッドをもつもの
,F01B   7/10,・・・・,他のピストンを貫通する１つのピストンのピストン棒をもつもの
,F01B   7/12,・・・,ロッカおよび連接棒を用いるもの
,F01B   7/14,・・,別の主軸に作用するもの
,F01B   7/16,・,串形に配置された同期的に運動するピストンをもつもの
,F01B   7/18,・,差動ピストンをもつもの（Ｆ０１Ｂ７／２０が優先）
,F01B   7/20,・,１つのピストンが他のピストン内を往復するピストンをもつもの，例．１つのピストンが他のピストンのシリンダを構成するもの
,F01B   9/00,,ピストンおよび主軸間の連結を特徴とし，グループＦ０１Ｂ１／００～Ｆ０１Ｂ７／００で特定されない往復ピストン機械または機関（アイドリング中に連結が分離しうるものＦ０１Ｂ３１／２４）
,F01B   9/02,・,クランク軸をもつもの
,F01B   9/04,・,クランク軸以外の回転主軸をもつもの
,F01B   9/06,・・,ピストン運動が曲面によって伝達されるもの
,F01B   9/08,・・,つめおよびつめ車をもつもの
,F01B  11/00,,回転主軸の無い往復ピストン機械または機関，例．自由ピストン形
