インデキシングフラグ,記号,ドット,タイトル
,G,,物理学
,＜注＞,,（１）このセクションにおいては，下記の用語は以下に示す意味で用いる：
,,,―“変量”（名詞）は特定の実在物（例．物体，ある量の物質，光ビーム）に関し特定の瞬間に測定することの可能な特性又は特質（例．寸法，温度等の物理的状態，密度又は色等の性質）を意味する。変量が変化すると，その数値的表現は異なる時点で又は異なる状態もしくは個々の状況において異なる値をとることもあり，また，ある状態のもとで又は実用上特定の実在物に関して変わらない（例．バーの長さが多くの目的のために一定とみなされる場合）こともある。
,,,（２）このセクションにおけるいくつかのクラスの注に使用されている用語又は表現，特にクラスＧ０１の“測定”，クラスＧ０５の“制御”及び“調整”の定義に注意すること。
,,,（３）このセクションにおける分類は他のセクションにおけるよりもめんどうな場合があり得る，というのは，その一つは，いろいろな使用分野の差異の判別には構造上の差異又は使用形態上の差異よりも寧ろ使用者の意図における差異の方にかなりの程度影響されてしまうからであり，もう一つは，扱う主題が容易に全体として識別できる“もの”であるよりも，特性又は部品が他の主題のものと共通のものを有しているシステム又は組合わせであることが実際上多いからである。例えば，情報（例．一連の数値）をディスプレイするのは教育又は広告（Ｇ０９）のためなどであり，その目的を記述するために使用する言葉は，当該装置の形態に無関係なこともあり得る特性－例えば，ディスプレイを見る者にとって望ましい効果とか，ディスプレイが遠隔地点から制御されるかどうかという特性－によって決定される。さらに，ある状態，例えば流体圧の変化に応答する装置は，その装置そのものには変更を加えずして，圧力（Ｇ０１Ｌ）又は圧力に関連した他の何らかの状態（Ｇ０１の他のサブクラス，例．温度に関しＧ０１Ｋ）についての情報を与えるため，圧力または圧力発生の記録をする（Ｇ０７Ｃ）ため，警報を発する（Ｇ０８Ｂ）ため，又は他の何らかの装置を制御する（Ｇ０５）ために用いられることがある。
,,,本分類構成は同一の性質のもの（前述したように）は同一箇所に分類し得るようにしたものであって，従って，技術主題が適切箇所に分類されるためには予めその真正な本質を把握することが特に必要である。
,G01,,測定；試験
,＜注＞,,（１）このクラスは“真”の測定計器のほかに類似構造の他の指示表示装置又は記録装置を含み，また更に，信号化装置又は制御装置についてはそれが測定に関するものであって（以下の注（２）で定義するように）特定の信号化目的または特定の制御目的に特に適合しないものである限り，含まれる。
,,,（２）このクラスにおいては，下記の用語は以下に示す意味で用いる：
,,,―“測定”はその第一義的意味又は基本的な意味よりもかなり広い意味を含むものとして用いる。この語の第一義的な意味においては，変量値を単位もしくはデータに関して又は同じ性質の別の変量に関して数値的に表現することを見い出すこと，例えば長さをスケールで測定するなどある長さを別の長さの表現で表わすこと，を意味する。この変量値は直接的に得る（すぐ前で言及したように）こともあり，また，水銀柱の長さの変化を測定することにより温度変化を測定するなど求める変量値に関連づけることのできる他の変量値を測定することよって得ることもある。しかしながら，同じ装置又は計器が，直接的な表示を行う代りに，記録をとったり，指示効果又は制御効果を奏すべく信号を発生するために用いられたり，或いは，他の装置又は計器と組み合わせて同種又は異種の二以上の変量の測定から一つのまとまった結果を得るために用いられることもあるので，“測定”はかかる数値的表現を変量を数値に変換する何らかの手段の付加的使用によって得ることを可能とするような操作をも含むものとして解釈することが必要である。従って，数値での表現は実際的にはデジタル的表現によって行なうこともありスケールを読むことによって行なうこともあり，また，その指示は数値を用いないで，例えば測定されている変量が特性又は状態であるところの実在物（例．物体，物質，光ビーム）について感知し得る何らかの特性（変量）によって又はそのような特性に類似するもの（例．スケールをもたない部材の対応位置，何らかの手段によって発生される対応電圧）によって，与えられることがある。
,,,また，上記のような変量値指示が行なわれずに単に基準又はデータ（その値は数値的に既知のこともあり未知のこともある）に関しての異同を示すだけのことも多くある。この基準又はデータは同一性質であるが異なる実在物（例．標準器）の値のこともあり，或いは異なる時点での同一実在物の値であることもある。その最も単純な形態においては，測定は単にある状態又は性質，例えば運動（いずれかの方向又は特定の方向における）の有無を指示するだけのこともあるし，また，変量が既定値を超えるかどうかを指示するだけのこともある。
,,,（３）“マイクロ構造の装置”および“マイクロ構造のシステム”に関する，クラスＢ８１およびサブクラスＢ８１Ｂの両タイトルの後の注に注意すること。［７］
,,,（４）セクションＧのタイトルに続く注，特に“変量”という用語の定義については注意はすること。
,,,（５）多くの測定装置において，測定すべき第一の変量は第二の変量またはさらなる変量に変換される。第二の変量またはさらなる変量は，第一の変量に関係して構成部材に生じた状態，または構成部材の変位であるかもしれない。そして，さらに変換が必要となるかもしれない。［６］
,,,このような装置を分類するときは，（ｉ）重要である特定の変換ステップ，または重要である個々の変換ステップを分類するか，または（ｉｉ）全体としてのシステムのみが重要な場合は，第一の変量を該当する箇所に分類する。［６］
,,,これは２つ以上の変換が起こる場合に特に重要である。たとえば，第一の変量（例．圧力）が第二の変量（例．感知体の光学的特性）に変換され，さらにその第二の変量が第三の変量（例．電気的効果）で示されるような場合である。このような場合には，次の分類箇所を考慮しなければならない：
,,,第一の変量の変換についての分類場所，その変量により生じた状態を感知することについての分類場所，測定を示すＧ０１Ｄ，そして最後に，該当する場合は，システム全体を分類する場所である。［６］
,,,（６）物理的特性の値の変化の測定は，その物理的特性の測定と同一のサブクラスに分類する。例えば，長さの伸びの測定はサブクラスＧ０１Ｂに分類する。
,,,器械
,G01B,,長さ，厚さまたは同種の直線寸法の測定；角度の測定；面積の測定；表面または輪郭の不規則性の測定
,＜注＞,,（１）このサブクラスは長さまたは角度（ｌｉｎｅａｒ　ｏｒ　ａｎｇｕｌａｒ　ｄｉｍｅｎｓｉｏｎ）で表現された位置または変位の測定を包含する。［４］
,,,（２）このサブクラスにおいては，グループはもっとも重要な測定手段により分類されている。したがって，最終指示を与えるための他の方法の単なる使用は，分類には影響しない。
,,,（３）クラスＧ０１のタイトルに続く注に注意すること。
,,,（４）このサブクラスに記述された手動装置と同一の原理で作動する機械は，これらの各装置のところに分類する。
,,,（５）グループ３／００～１７／００までの２以上に包含される測定装置またはその細部は，優先適用として単一の他のグループを選択できない場合に，グループ２１／００に分類する。
,＜索引＞,,物質によって特徴づけられた測定装置　１／００
,,,測定装置に使用されている主要な方法
,,,機械的なもの　３／００，５／００
,,,電気的または磁気的なもの　７／００
,,,流体によるもの　１３／００
,,,光波によるもの；他の電磁波または放射線によるもの　９／００，１１／００；１５／００
,,,音波によるもの　１７／００
,,,他の測定装置　２１／００
,G01B   1/00,,材質の選択に特徴のある測定計器
,G01B   3/00,,このサブグループに記述され，かつ機械的測定手段の使用によって特徴づけられた計器（個別のパラメータを測定するための装置Ｇ０１Ｂ５／００；長尺物の貯蔵および繰返し繰出しおよび再蔵用に特に適するまたは取りつけられた一般的な特徴をもつ機器Ｂ６５Ｈ７５／３４）［２］
,G01B   3/02,・,直読用の目盛またはマークをもつ定規またはテープ
,G01B   3/04,・・,剛性のもの
,G01B   3/06,・・・,折りたたみ式
,G01B   3/08,・・・,伸長式
,G01B   3/10,・・,可撓性のもの
,G01B   3/11,・,測長用のくさり
,G01B   3/12,・,測定ホイール
,G01B   3/14,・,輪郭チェック用の型板
,G01B   3/16,・,コンパス，すなわち一対のピボットアームをもつもの
,G01B   3/18,・,マイクロメータ
,G01B   3/20,・,スライドゲージ
,G01B   3/22,・,フィーラピンゲージ，例．ダイヤルゲージ（輪郭または曲率測定用Ｇ０１Ｂ５／２０）
,G01B   3/24,・・,オープンヨーク付き，すなわちカリパス
,G01B   3/26,・・,プラグゲージ
,G01B   3/28,・・,深さゲージ
,G01B   3/30,・,一対の固定面間の距離が一定のバー，ブロックまたはストリップ，ただし，調整できるものも含む，例．エンドメジャー，フィーラーストリップ
,G01B   3/32,・・,そのためのホルダー
,G01B   3/34,・,リングまたはその他の穴あきゲージ，例．”はめあい”ゲージ
,G01B   3/36,・・,おねじ用
,G01B   3/38,・,オープンヨークと対向面をもち，面間の内部距離が一定しているゲージ，すなわちカリパス，ただし調整できるものも含む
,G01B   3/40,・・,おねじ用
,G01B   3/42,・・,リミットゲージ型のもの，すなわち”はめあい式”（Ｇ０１Ｂ３／４０が優先）
,G01B   3/44,・・・,摩耗と公差のために調整できるもの
,G01B   3/46,・,一定間隔で面に係合する内径用のプラグゲージ，ただし，調整できるものも含む
,G01B   3/48,・・,めねじ用
,G01B   3/50,・・,リミットゲージ型のもの，すなわち”はめあい式”（Ｇ０１Ｂ３／４８が優先）
,G01B   3/52,・・・,摩耗と公差のために調整できるもの
,G01B   3/56,・,角度またはテーパ測定用ゲージ，例．円錐カリパス
,G01B   5/00,,機械的手段の使用によって特徴づけられた測定装置（グループＧ０１Ｂ３／００に包含される形式の計器それ自体Ｇ０１Ｂ３／００）［２］
,G01B   5/004,・,点の座標測定用［６］
,G01B   5/008,・・,座標測定機械を使うもの［６］
,G01B   5/012,・・・,そのための接触子ヘッド［６］
,G01B   5/016,・・・・,接触子の構造細部［６］
,G01B   5/02,・,長さ，幅または厚測定用（Ｇ０１Ｂ５／００４，Ｇ０１Ｂ５／０８が優先）［６］
,G01B   5/04,・・,移動体の長さまたは幅測定用に特に適合したもの
,G01B   5/06,・・,厚み測定用
,G01B   5/08,・,直径測定用
,G01B   5/10,・・,移動体の
,G01B   5/12,・・,内径
,G01B   5/14,・,離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ５／２４が優先）
,G01B   5/16,・・,規則正しい間隔で連続している対象物または開口間
,G01B   5/18,・,深さ測定用
,G01B   5/20,・,輪郭または曲率測定用
,G01B   5/207,・・,複数の固定した同時作動の変換器を使うもの（Ｇ０１Ｂ５／２１３～Ｇ０１Ｂ５／２２までが優先）［６］
,G01B   5/213,・・,曲率半径測定用［６］
,G01B   5/22,・・,球面計
,G01B   5/24,・,角度またはテーパ測定用；軸の心合せ試験用
,G01B   5/245,・・,垂直の検査用［６］
,G01B   5/25,・・,軸の心合せ検査用
,G01B   5/252,・・・,偏心率測定用，すなわち，二つの平行軸間の偏位［６］
,G01B   5/255,・・,ホイールの心合せ試験用
,G01B   5/26,・,面積測定用，例．プラニメータ（積分器一般Ｇ０６Ｇ）
,G01B   5/28,・,表面の粗さまたは不規則性測定用
,G01B   5/30,・,固体の変形測定用，例．機械的ひずみ計
,G01B   7/00,,電気的または磁気的手段の使用によって特徴づけられた測定装置
,G01B   7/004,・,点の座標測定用［６］
,G01B   7/008,・・,座標測定機械を使うもの［６］
,G01B   7/012,・・・,そのための接触子ヘッド［６］
,G01B   7/016,・・・・,接触子の構造細部［６］
,G01B   7/02,・,長さ，幅または厚みの測定用（Ｇ０１Ｂ７／００４，Ｇ０１Ｂ７／１２が優先）［６］
,G01B   7/04,・・,移動体の長さまたは幅測定用に特に適合したもの
,G01B   7/06,・・,厚み測定用
,G01B   7/12,・,直径測定用
,G01B   7/13,・・,内径［６］
,G01B   7/14,・,離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ７／３０が優先）
,G01B   7/15,・・,規則的な間隔に置かれたもの［６］
,G01B   7/16,・,固体の変形測定用，例．抵抗ひずみ計によるもの
,G01B   7/24,・・,磁気特性変化を使うもの
,G01B   7/26,・,深さ測定用
,G01B   7/28,・,輪郭または曲率測定用
,G01B   7/287,・・,複数の固定した同時動作の変換器を使うもの（Ｇ０１Ｂ７／２９３が優先）［６］
,G01B   7/293,・・,曲率半径測定用［６］
,G01B   7/30,・,角度またはテーパ測定用；軸の心合せ試験用
,G01B   7/305,・・,垂直の検査用［６］
,G01B   7/31,・・,軸の心合せ検査用
,G01B   7/312,・・・,偏心率測定用，すなわち，二つの平行軸間の偏位［６］
,G01B   7/315,・・,ホイールの心合せ試験用
,G01B   7/32,・,面積測定用（積分器一般Ｇ０６Ｇ）
,G01B   7/34,・,表面の粗さまたは不規則性測定用
,G01B   9/00,,このサブグループに記述され，かつ光学的測定手段の使用によって特徴づけられた計器（個別のパラメータを測定するための装置Ｇ０１Ｂ１１／００）［２］
,G01B   9/02,・,干渉計
,G01B   9/021,・・,ホログラフィ技術によるもの［２］
,G01B   9/023,・・・,等高線作成用（Ｇ０１Ｂ９／０２５～Ｇ０１Ｂ９／０２９が優先）［２］
,G01B   9/025,・・・,二重露光方式［２］
,G01B   9/027,・・・,実時間式［２］
,G01B   9/029,・・・,時間平均式［２］
,G01B   9/04,・,測定用顕微鏡
,G01B   9/06,・,測定用望遠鏡
,G01B   9/08,・,光投影式コンパレータ
,G01B   9/10,・,複数の面の間の角度測定用ゴニオメータ
,G01B  11/00,,光学的手段の使用によって特徴づけられた測定装置（グループＧ０１Ｂ９／００に包含される形式の計器それ自体Ｇ０１Ｂ９／００）［２］
,G01B  11/02,・,長さ，幅または厚み測定用（Ｇ０１Ｂ１１／０８が優先）
,G01B  11/03,・・,点の座標測定によるもの［３］
,G01B  11/04,・・,移動体の長さまたは幅測定用に特に適合したもの
,G01B  11/06,・・,厚み測定用
,G01B  11/08,・,直径測定用
,G01B  11/10,・・,移動体の
,G01B  11/12,・・,内径
,G01B  11/14,・,離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ１１／２６が優先；光学的距離計Ｇ０１Ｃ３／００）
,G01B  11/16,・,固体の変形測定用，例．光学的ひずみ計
,G01B  11/22,・,深さ測定用
,G01B  11/24,・,輪郭または曲率の測定用
,G01B  11/245,・・,複数の，固定された，同時に作動する変換器を用いるもの（Ｇ０１Ｂ１１／２５５が優先）［７］
,G01B  11/25,・・,対象物にパターン，例．モアレ縞，を投影することによるもの（Ｇ０１Ｂ１１／２５５が優先）［７］
,G01B  11/255,・・,曲率半径測定用［７］
,G01B  11/26,・,角度またはテーパ測定用；軸の心合せ試験用
,G01B  11/27,・・,軸の心合せ検査用
,G01B  11/275,・・,ホイールの心合せ試験用
,G01B  11/28,・,面積測定用（積分器一般Ｇ０６Ｇ）
,G01B  11/30,・,表面の粗さまたは不規則性測定用
,G01B  13/00,,流体の使用によって特徴づけられた測定装置
,G01B  13/02,・,長さ，幅または厚み測定用（Ｇ０１Ｂ１３／０８が優先）
,G01B  13/03,・・,点の座標測定によるもの［３］
,G01B  13/04,・・,移動体の長さまたは幅測定用に特に適合したもの
,G01B  13/06,・・,厚さ測定用
,G01B  13/08,・,直径測定用
,G01B  13/10,・・,内径
,G01B  13/12,・,離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ１３／１８が優先）
,G01B  13/14,・,深さ測定用
,G01B  13/16,・,輪郭または曲率の測定用
,G01B  13/18,・,角度またはテーパ測定用；軸の心合せ試験用
,G01B  13/19,・・,軸の心合せ検査用
,G01B  13/195,・・,ホイールの心合せ試験用
,G01B  13/20,・,面積測定用，例．空気式プラニメータ（積分器一般Ｇ０６Ｇ）
,G01B  13/22,・,表面の粗さまたは不規則性測定用
,G01B  13/24,・,固体の変形測定用［３］
,G01B  15/00,,波動性または粒子性放射線の使用によって特徴づけられた測定装置（Ｇ０１Ｂ９／００，Ｇ０１Ｂ１１／００が優先）［４］
,G01B  15/02,・,厚み測定用
,G01B  15/04,・,輪郭または曲率の測定用
,G01B  15/06,・,固体の変形測定用
,G01B  15/08,・,表面の粗さ，または不規則性の測定用［６］
,G01B  17/00,,亜音波，音波，または超音波振動の使用によって特徴づけられた測定装置［４］
,G01B  17/02,・,厚み測定用
,G01B  17/04,・,固体の変形測定用，例．振動弦によるもの
,G01B  17/06,・,輪郭または曲率の測定用［６］
,G01B  17/08,・,表面の粗さ，または不規則性の測定用［６］
,G01B  21/00,,このサブクラスの他のグループの，個別の形式の測定手段に適合しない測定装置またはその細部［３］
,G01B  21/02,・,長さ，幅または厚さの測定用（Ｇ０１Ｂ２１／１０が優先）［３］
,G01B  21/04,・・,点の座標測定によるもの［３］
,G01B  21/06,・・,移動体の長さまたは幅測定用に特に適合したもの［３］
,G01B  21/08,・・,厚さ測定用［３］
,G01B  21/10,・,直径測定用［３］
,G01B  21/12,・・,移動体の［３］
,G01B  21/14,・・,内径［３］
,G01B  21/16,・,離隔対象物間の距離または間隙測定用［３］
,G01B  21/18,・,深さ測定用［３］
,G01B  21/20,・,輪郭または曲率測定用，例．プロフィル測定［３］
,G01B  21/22,・,角度またはテーパ測定用；軸の心合せ検査用［３］
,G01B  21/24,・・,軸の心合せ検査用［３］
,G01B  21/26,・・,ホイールの心合せ検査用［３］
,G01B  21/28,・,面積測定用（積分器一般Ｇ０６Ｇ）［３］
,G01B  21/30,・,表面の粗さまたは不規則性測定用［３］
,G01B  21/32,・,固体の変形測定用［３］
,G01C,,距離，水準または方位の測定；測量；航行；ジャイロ計器；写真計量または映像計量（液位の測定Ｇ０１Ｆ；無線による航行，電波の伝播効果，例．ドプラ効果，伝播時間，の使用による距離または速度の決定，その他の波を用いる類似の装置Ｇ０１Ｓ）
,＜注＞,,（１）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：
,,,―“航行”とは地上の乗物，船舶，航空機および宇宙船の位置およびコースの決定を意味する。
,,,（２）クラスＧ０１のタイトルに続く注に注意すること。
,＜索引＞,,測定機器
,,,角度の測定用；傾斜の測定用　１／００；９／００
,,,距離の測定用；高さまたは水準測定用　３／００，２２／００；５／００
,,,コンパス；ジャイロスコープ；他の航行装置　１７／００；１９／００；２１／００
,,,その他の測量機器　１５／００
,,,組み合わされた機器　２３／００
,,,製造，較正　２５／００
,,,プロフイルの追跡　７／００
,,,写真測量または映像測量　１１／００
,,,開水面の測量　１３／００
,G01C   1/00,,角度の測定
,G01C   1/02,・,経緯儀
,G01C   1/04,・・,カメラと組み合わされたもの
,G01C   1/06,・・,スケール読取装置
,G01C   1/08,・,六分儀
,G01C   1/10,・・,人工水平を含むもの（Ｇ０１Ｃ１／１４が優先）
,G01C   1/12,・・・,安定ミラーをもつもの
,G01C   1/14,・・,潜望鏡型六分儀
,G01C   3/00,,視準線上の距離測定；光学的距離計（測長用テープ，くさりまたはホイールＧ０１Ｂ３／００；アクティブ三角測量方式，即ち，電波以外の電磁波の送信および反射を使用する方式Ｇ０１Ｓ１７／４８）［１，８］
,G01C   3/02,・,細部
,G01C   3/04,・・,望遠鏡または双眼鏡と組み合わせるための距離計の適用
,G01C   3/06,・・,最終指示値を得るための電気的手段の使用
,G01C   3/08,・・・,電気的輻射検出器の使用
,G01C   3/10,・,可変角度と観測地点内，例．機器内，における固定長の基線とからなる視差三角形を使用するもの［１，８］
,G01C   3/12,・・,単一地点で単眼鏡観測するもの，例．合致式（Ｇ０１Ｃ３／２０が優先）
,G01C   3/14,・・,単一地点で双眼鏡観測するもの，例．ステレオ式（Ｇ０１Ｃ３／２０が優先）
,G01C   3/16,・・・,測定用マーク
,G01C   3/18,・・,基線の両端で一観測点を観測するもの（Ｇ０１Ｃ３／２０が優先）
,G01C   3/20,・・,目標物の高さの測定に適用するもの
,G01C   3/22,・,可変角と，目標またはその付近あるいは目標自身により形成された固定長の基線とからなる視差三角形を使用するもの［１，８］
,G01C   3/24,・,固定角と，観測地点内，例．機器内，における可変長の基線とからなる視差三角形を使用するもの［１，８］
,G01C   3/26,・,固定角と，目標またはその付近，または目標自身により形成される可変長基線からなる視差三角形を使用するもの［１，８］
,G01C   3/28,・・,水平面への距離の縮小のための設備を有するもの
,G01C   3/30,・・・,目標の高さの測定に適用するもの，例．視距儀
,G01C   3/32,・,目標物を焦点合せすることによるもの，例．すりガラススクリーン上に
,G01C   5/00,,高さの測定；視準線に直交する距離の測定；離れた地点間の水準測量；測量用水準儀（Ｇ０１Ｃ３／２０，Ｇ０１Ｃ３／３０が優先）
,G01C   5/02,・,視準線の自動安定装置を含むもの
,G01C   5/04,・,静水力学的水準測量，すなわち．離れた点にある液体容器を可撓的に結合したもの
,G01C   5/06,・,気圧計の使用によるもの
,G01C   7/00,,プロフィルの追跡（写真計量または映像計量によるものＧ０１Ｃ１１／００）
,G01C   7/02,・,地表面の
,G01C   7/04,・・,追跡されるプロフィルに沿って移動する乗物を含むもの
,G01C   7/06,・,空洞，例．トンネル，の
,G01C   9/00,,傾斜の測定，例．クリノメーターによるもの，水準器によるもの
,G01C   9/02,・,細部
,G01C   9/04,・・,感知素子と拡大した読取りを得るための最終指示部との間の伝達手段
,G01C   9/06,・・,電気的もしくは光電的指示または読取手段
,G01C   9/08,・・,機器の移動による加速力の補正手段
,G01C   9/10,・,ころがる物体の使用によるもの
,G01C   9/12,・,単一振子の使用によるもの（下げ振糸Ｇ０１Ｃ１５／１０）
,G01C   9/14,・・,二方向以上に可動なもの
,G01C   9/16,・,複数の振子の使用によるもの
,G01C   9/18,・,液体の使用によるもの
,G01C   9/20,・・,容器に対する液面の傾斜にもとづく指示
,G01C   9/22,・・・,相互に固定的に連結された容器をもつもの
,G01C   9/24,・・,気泡を残すように密閉容器中に部分的に液体を満したもの
,G01C   9/26,・・・,細部
,G01C   9/28,・・・・,支持台
,G01C   9/30,・・・・,気泡の大きさを調整する手段
,G01C   9/32,・・・・,気泡の位置の観測を容易ならしめる手段，例．照明手段
,G01C   9/34,・・・,気泡管式の，すなわち一方向のみのレベルを示すためのもの
,G01C   9/36,・・・,球面式の，すなわちすべての方向のレベルを示すためのもの
,G01C  11/00,,写真計量または映像計量，例．ステレオ法を用いた測量；写真測量［１，８］
,G01C  11/02,・,写真計量または写真測量に特に適合する写真撮影装置，例．写真の重なりを制御するもの
,G01C  11/04,・,写真の判読
,G01C  11/06,・・,同一地域の２枚以上の写真の比較によるもの
,G01C  11/08,・・・,撮影されたときと同じ相対位置に写真を支持しないもの
,G01C  11/10,・・・・,写真の位置の制御に計算機を使用するもの
,G01C  11/12,・・・,撮影されたときと同じ相対位置に写真を支持するもの
,G01C  11/14,・・・・,光学投影手段をもつもの（Ｇ０１Ｃ１１／２６が優先）
,G01C  11/16,・・・・・,共通平面上に
,G01C  11/18,・・・・・・,走査手段を含むもの
,G01C  11/20,・・・・・,分離された平面上に
,G01C  11/22,・・・・,機械的投影手段をもつもの（Ｇ０１Ｃ１１／２６が優先）
,G01C  11/24,・・・・,光学的―機械的投影手段をもつもの（Ｇ０１Ｃ１１／２６が優先）
,G01C  11/26,・・・・,写真の位置の制御に計算機を使用するもの
,G01C  11/28,・・・,写真上のデータを記録するために特に付設する物，例．プロフィル用
,G01C  11/30,・・,三角測量によるもの
,G01C  11/32,・・・,放射三角測量
,G01C  11/34,・・・,空中三角測量
,G01C  11/36,・,映像計量，即ち，異なる情報源からの映像信号の電子処理であり，視差情報または距離情報を提供するためのもの［８］
,G01C  13/00,,特に開水面で用いられる測量，例．海，湖，川または運河（液位の測定Ｇ０１Ｆ）
,G01C  15/00,,グループＧ０１Ｃ１／００～Ｇ０１Ｃ１３／００までに分類されない測量機器または付属具
,G01C  15/02,・,測点のマーク付のための手段
,G01C  15/04,・・,永久的測標；境界標識
,G01C  15/06,・・,測量用標尺；可動標識
,G01C  15/08,・・・,測地標上の下げ振りまたは記印用の標尺または標識
,G01C  15/10,・,下げ振り
,G01C  15/12,・,固定角，例．直角，を設定するための器具
,G01C  15/14,・,人工水平儀
,G01C  17/00,,コンパス；航行もしくは測量のために真北または磁北を探知する装置（ジャイロ効果を利用するものＧ０１Ｃ１９／００）
,G01C  17/02,・,磁気コンパス
