インデキシングフラグ,記号,ドット,タイトル
,H,,電気
,＜注＞,,（利用にあたっての基本原則と一般的指示）
,,,Ｉ．セクションＨは以下のものを包含する：
,,,（ａ）基本的電気素子，これは全ての電気ユニットと，装置や回路の一般的な機械的構成を包含しており，その中にはプリント配線と称されるものに各種の基本素子を組み立てたものも含まれる。またこれは他に包含されない場合には，ある程度までこれらの素子の製造をも包含する；
,,,（ｂ）発電，これは，発電，変換および配電と共にそのための装置の制御を包含する；
,,,（ｃ）電気の応用，これは以下のものを包含する：
,,,（ｉ）一般的な利用技術，すなわち．電気加熱と電気照明回路の利用技術；
,,,（ｉｉ）厳密な意味で電気的か電子的かいずれかの特定の利用技術で国際特許分類の他のセクションに包含されないもの，これは以下のものを含んでいる：
,,,（１）電気的光源，これはレーザーを含む；
,,,（２）電気的なＸ線技術；
,,,（３）電気的なプラズマ技術，および帯電粒子または中性子の発生および加速；
,,,（ｄ）基本電子回路およびその制御；
,,,（ｅ）電気通信技術；これは電気―機械変換器一般を含む；
,,,（ｆ）物品や上記素子を作るための特定の材料の使用，この点については指針の８８項から９０項を参照されたい。
,,,ＩＩ．このセクションにおいては，下記の一般規則が適用される：
,,,（ａ）上記Ｉ（ｃ）で述べた例外を除いて，国際特許分類のセクションＨ以外のいずれかのセクションに分類される特殊な操作，方法，装置，物体または物品に特有の電気的観点または部分は，常にその操作，方法，装置，物体または物品のためのサブクラスに分類されるか，または類似の性質を有する技術主題に関する共通的な特徴がクラス・レベルで展開されている場合には，それは，該技術主題のための一般的電気的な応用を完全に包含するサブクラスに，その操作，方法，装置，物体または物品と関連して分類される；
,,,（ｂ）この様な電気的な応用には，一般的なものであれ特殊なものであれ，次の事項が含まれる。
,,,（ｉ）Ａ６１における治療方法および装置；
,,,（ｉｉ）Ｂ０１，Ｂ０３およびＢ２３Ｋにおける各種の実験室または工業的操作に用いられる電気的方法および装置；
,,,（ｉｉｉ）セクションＢの“運輸”のサブセクションにおける車両一般および特殊な車両への電気の供給，電気的推進および電気照明；
,,,（ｉｖ）Ｆ０２Ｐにおける内燃機関の電気点火系，およびＦ２３Ｑにおける燃焼装置一般のもの；
,,,（ｖ）セクションＧにおける全ての電気的部分，すなわち，電気変量の測定器を含む測定装置，検査，信号および計算。このＧセクションにおいて電気とは，一般に手段として扱われるものでそれ自体目的として扱われるものではない；
,,,（ｃ）全ての電気的な応用は一般的なものであれ特殊なものであれ，それが含んでいる電気的“基本的素子”に関して言えば，“基本的な電気”の観点がセクションＨ（上記Ｉ（ａ）参照）にあることを前提としている。この規則は，セクションＨ自身にある上記Ｉ（ｃ）で示した電気の応用に対しても有効である。
,,,ＩＩＩ．このセクションにおいては，下記の特別なケースが存在する：
,,,（ａ）セクションＨ以外のセクションに包含される一般的な応用の中で，電気的な加熱一般がサブクラスＦ２４ＤまたはＨまたはクラスＦ２７に包含されること，および電気的な照明一般が，クラスＦ２１にいくらか包含されることに注意すべきである。それは，サブクラスＨ０５Ｂに，同じ技術主題を包含する箇所があるからである；
,,,（ｂ）上記２つのケースにおいて，それぞれの主題を扱うセクションＦのサブクラスは，本質的には，第１に装置またはデバイスの全機械的な観点を包含するが，このような装置の電気的観点はサブクラスＨ０５Ｂに包含される；
,,,（ｃ）照明の場合，この機械的観点は各種の電気的素子の実質的な配置，すなわち，それらの幾何的，または物理的な相対位置を包含することを理解すべきである；これはＦ２１のサブクラスに包含される，素子自体および基本的な回路はセクションＨに残る。同じことは，電気的光源についても，異なる種類の光源を組み合わせる場合に適用される。これらはサブクラスＨ０５Ｂに包含されるが，これらの結合が構成する物理的な配置はクラスＦ２１のサブクラスに包含される；
,,,（ｄ）加熱に関しては，電気的素子および回路設計のみだけでなく，一般的な応用に関する場合にはそれらの配置の電気的観点もまた，そのようなものとしてサブクラスＨ０５Ｂに包含される；電気炉がそのようなものとして考えられる。炉における電気的素子の物理的配列はセクションＦに包含される，溶接に関して，電気的溶接回路がサブクラスＢ２３Ｋに包含されることと比較してみるならば，電気加熱は上記ＩＩで述べた一般規則に包含されないことが理解できる。
,,,
,H01,,基本的電気素子
,＜注＞,,（１）他に項目が存在する単一の技術のみを含む方法，例．乾燥，被覆，はその技術に関連するクラスに分類される。
