,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
0,1,特願2017-075202,特開2018-179582,"2017/04/05
2018/11/15
-",センサモジュールおよび機械学習と親和性の高いシステム,ミネベアミツミ株式会社,G01M99/00@Z,2017-04-05,1,4,2017,G01M,G01M99/00,['機械または構造物の静的または動的つり合い試験；他に分類されない構造物または装置の試験'],['このサブクラスの他のグループに分類されない主題事項［２０１１．０１］']
1,2,特願2017-075436,特開2018-178157,"2017/04/05
2018/11/15
-",半導体製造装置、半導体製造装置の故障予知方法、および半導体製造装置の故障予知プログラム,株式会社荏原製作所,"C25D21/12@C 
C25D7/12 
C25D21/12@N",2017-04-05,1,4,2017,C25D,"C25D21/12
C25D7/12
C25D21/12",['電気分解または電気泳動による被覆方法；電鋳（金属の析出による印刷回路の製造Ｈ０５Ｋ３／１８）；電気分解による加工品の接合；そのための装置（陽極または陰極保護Ｃ２３Ｆ１３：００；単結晶成長Ｃ３０Ｂ）［２，６］'],"['プロセス制御または調整［２］']
['半導体［２］']
['プロセス制御または調整［２］']"
2,3,特願2018-147992,特許6424293,"2018/08/06
2018/11/14
2018/10/26",ボディの画像化,マイフィジーク リミテッド,"A61B5/11,200 
A61B5/117,100",2018-08-06,1,8,2018,A61B,"A61B5/11
A61B5/117",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['身体全体またはその部分の動きを測定するもの，例．頭または手の震えまたは４肢の運動性（脈はく測定のためのものＡ６１Ｂ５／０２）［５］']
['個人の識別（パターンを認識するための方法または装置，例．指紋，Ｇ０６Ｋ９／００；音声または話し方の解析による個人の識別Ｇ１０Ｌ１７／００）［５，２０１６．０１］']"
3,4,特願2017-071680,特開2018-173342,"2017/03/31
2018/11/08
-",雨量センサ、雨量推定装置、雨量推定方法、および雨量推定システム,国立研究開発法人産業技術総合研究所,G01W1/14@C,2017-03-31,1,3,2017,G01W,G01W1/14@,['気象学（気象用にデザインしたレーダ，ソーナ，ライダーまたは類似の方式Ｇ０１Ｓ１３／９５，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／９５）'],[]
4,5,特願2017-069182,特開2018-170744,"2017/03/30
2018/11/01
-",リモコン制御システム、リモコン制御方法及びプログラム,株式会社エヌ・ティ・ティ・データ,"H04Q9/00,301@D 
H04Q9/00,331@Z",2017-03-30,1,3,2017,H04Q,"H04Q9/00
H04Q9/00",['選択（スイッチ，リレー，セレクタＨ０１Ｈ；無線通信ネットワークＨ０４Ｗ）［１，２００９．０１］'],"['遠隔制御システムまたはテレメータシステムにおいて一つのメインステーションから一つのサブステーションを選択的に呼び出すための配置であって，そのサブステーションは対象となる装置を選択して，その装置に制御信号を印加し，またはその装置から測定値を得るもの']
['遠隔制御システムまたはテレメータシステムにおいて一つのメインステーションから一つのサブステーションを選択的に呼び出すための配置であって，そのサブステーションは対象となる装置を選択して，その装置に制御信号を印加し，またはその装置から測定値を得るもの']"
5,6,特願2017-224454,特開2018-161462,"2017/11/22
2018/10/18
-",情報処理方法、情報処理装置、及びプログラム,パナソニックＩＰマネジメント株式会社,"A61B5/00,101@K 
A61B5/01,350",2017-11-22,1,11,2017,A61B,"A61B5/00
A61B5/01",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
['人体部分の温度測定（体温計Ｇ０１Ｋ５／２２；特殊目的の温度計Ｇ０１Ｋ１３／００）［７］']"
6,7,特願2017-090802,特許6408063,"2017/04/28
2018/10/17
2018/09/28",複数のセンサを備える工作機械の主軸ヘッドの故障検出装置,ファナック株式会社,"B23Q17/00@A 
G01N27/12@B 
B23B19/02@Z 
他",2017-04-28,1,4,2017,"B23Q
他
B23B
G01N","B23Q17/00
G01N27/12
B23B19/02
他","['工作機械の細部；構成部分，または付属装置，例．倣いまたは制御装置（旋盤またはボール盤の工具Ｂ２３Ｂ２７／００）；特定の細部または構成部分の構造により特徴づけられる工作機械一般；特定の結果を目的としない金属加工機械の組合わせ']
[]
['旋削；中ぐり（工具としての電極を使用するものＢ２３Ｈ；\u3000例．\u3000孔あけＢ２３Ｈ９／１４；\u3000レーザービームによる加工Ｂ２３Ｋ２６／００；\u3000倣い削りまたは制御のための装置Ｂ２３Ｑ）']
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']","['工作機械上において指示または測定する装置の配置（送り移動，切削速度または工具または工作物の位置の自動制御または調整Ｂ２３Ｑ１５／００）［３，４］']
['流体の吸収による固体の；流体との反応による固体の']
['加工主軸；それに関連した構成，例．支持構造（Ｂ２３Ｂ１３／００が優先）']
[]"
7,8,特願2017-056064,特開2018-158284,"2017/03/22
2018/10/11
-",データベースの製造方法、及び水処理又は汚泥処理システム,水ｉｎｇ株式会社,"C02F1/00@V 
C02F11/00@Z",2017-03-22,1,3,2017,C02F,"C02F1/00@
C02F11/00",['水，廃水，下水または汚泥の処理（物質の化学変化の影響により有害な化学剤を無害にするまたはより有害でなくする方法Ａ６２Ｄ３／００；分離，沈でん槽またはろ過装置Ｂ０１Ｄ；水，廃水，または下水を処理するための船舶に特有の装置，例．清水を作るためのもの，Ｂ６３Ｊ；腐食防止のための水への薬剤の添加Ｃ２３Ｆ；放射能汚染液体の処理Ｇ２１Ｆ９／０４）［３］'],"[]
['汚泥の処理；そのための装置［３］']"
8,9,特願2017-058307,特開2018-158052,"2017/03/24
2018/10/11
-",運動解析装置、運動解析システム、運動解析方法及びプログラム,カシオ計算機株式会社,"A63B69/36,541@P 
A63B69/36 
A63B69/36,541@W",2017-03-24,1,3,2017,A63B,"A63B69/36
A63B69/36
A63B69/36",['身体の鍛錬、体操、水泳、登はん、またはフェンシングのための装置；球技；訓練用具（受動的鍛練のための装置，マッサージＡ６１Ｈ）'],"['ゴルフ用']
['ゴルフ用']
['ゴルフ用']"
9,10,特願2018-505503,特許6403920,"2017/11/17
2018/10/10
2018/09/21",３次元空間監視装置、３次元空間監視方法、及び３次元空間監視プログラム,三菱電機株式会社,B25J19/06,2017-11-17,1,11,2017,B25J,B25J19/06,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['安全装置［４］']
