項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1,特願2018-076692,特開2018-181343,"2018/04/12
2018/11/15
-",抽象的要約のためのディープ強化モデル,セールスフォース ドット コム インコーポレイティッド,"G06F17/27,665 
G06F17/30,220@A 
G06F17/30,170@A 
他"
2,特願2018-050499,特開2018-181318,"2018/03/19
2018/11/15
-",ソフトウェア欠陥報告を分類するシステム及び方法,タタ コンサルタンシー サービシズ リミテッド,"G06F17/30,350@C 
G06F17/30,170@A 
G06F17/30,210@D"
3,特願2017-084040,特開2018-181218,"2017/04/20
2018/11/15
-",加工面品位評価装置,ファナック株式会社,"G05B19/4155@V 
G01N21/84@D 
G01N21/93 
他"
4,特願2017-084039,特開2018-181217,"2017/04/20
2018/11/15
-",加減速制御装置,ファナック株式会社,"G05B19/416@K 
G05B19/4155@V 
G06N99/00,150 
他"
5,特願2017-084032,特開2018-181216,"2017/04/20
2018/11/15
-",加工不良要因推定装置,ファナック株式会社,"G05B19/18@X 
G05B19/4155@V 
G06N99/00,150"
6,特願2017-083454,特開2018-181181,"2017/04/20
2018/11/15
-",文処理装置および文処理方法,株式会社日立製作所,"G06F17/28,609"
7,特願2017-080773,特開2018-181004,"2017/04/14
2018/11/15
-",教師データ生成装置,学校法人慶應義塾 他,"G06F17/30,220@Z 
G06F17/30,310@Z 
G06N99/00,153"
8,特願2017-080016,特開2018-180955,"2017/04/13
2018/11/15
-",回路構成最適化装置及び機械学習装置,ファナック株式会社,"G06F17/50,656@A 
G06F11/10,608 
G06F17/50,604@D 
他"
9,特願2017-079851,特開2018-180951,"2017/04/13
2018/11/15
-",回路構成最適化装置及び機械学習装置,ファナック株式会社,"G06F11/00,608 
G06F11/10,648 
G06N3/08 
他"
10,特願2017-076917,特開2018-180778,"2017/04/07
2018/11/15
-",制御装置,ファナック株式会社,"G05B13/04 
G05B11/32@F"
11,特願2017-076706,特開2018-180764,"2017/04/07
2018/11/15
-",調整装置及び調整方法,ファナック株式会社,G05B19/4155@V
12,特願2017-076511,特開2018-180756,"2017/04/07
2018/11/15
-",コネクタの姿勢認識装置、端末部把持装置、コネクタの姿勢認識方法及び端末部の把持方法,住友電気工業株式会社 他,"G06T7/70@B 
B25J13/08@A 
H01B13/012@A"
13,特願2017-075854,特開2018-180719,"2017/04/06
2018/11/15
-",客室単価設定支援システムおよびプログラム,メトロエンジン株式会社,G06Q50/12
