項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1,特願2017-018649,特開2018-124913,"2017/02/03
2018/08/09
-",医療機器監視システム,学校法人 埼玉医科大学 他,"G06Q50/22 
G16H20/00"
2,特願2018-011463,特開2018-061883,"2018/01/26
2018/04/19
-",血管形状及び生理学から血流特性を推定するシステム及び方法,ハートフロー， インコーポレイテッド,"A61B5/02,800@Z 
A61B6/03,360@G 
A61B5/026,140"
3,特願2016-184602,特開2018-047035,"2016/09/21
2018/03/29
-",医療支援方法および医療支援装置,学校法人自治医科大学,"A61B5/05,380 
A61B6/03,360@Q 
A61B5/05,390 
他"
4,特願2016-144880,特開2018-014058,"2016/07/22
2018/01/25
-",医療情報処理システム、医療情報処理装置及び医療情報処理方法,株式会社トプコン,"G06Q50/22 
G06N5/02,120 
G16H10/00 
他"
5,特願2016-231170,特許6228656,"2016/11/29
2017/11/08
2017/10/20",医療機器監視システム,株式会社ダイトーマイテック 他,"G06Q50/22 
H04Q9/00,311@H 
H04Q9/00,301@B 
他"
6,特願2018-512873,特表2018-533123,"2016/09/12
2017/03/16
-",統合された臨床ケアのための情報科学プラットフォーム,エフ．ホフマン－ラ ロシュ アーゲー,"G06Q50/22 
G16H20/00"
7,特願2018-505708,特表2018-532441,"2016/07/22
2017/02/09
-",脳腫瘍を分類するための視覚表現学習,シーメンス アクティエンゲゼルシャフト,"A61B1/045,614 
A61B10/00@T 
A61B5/00@G 
他"
8,特願2015-147854,特開2017-027509,"2015/07/27
2017/02/02
-",予測モデル構築装置,ＫＤＤＩ株式会社,"G06F17/30,220@Z 
G06N99/00,156 
G06Q50/22,130 
他"
9,特願2018-520648,特表2018-529172,"2016/07/07
2017/01/12
-",医療機器をモニターする方法,ブリテル アクチエボラグ パブリーク,"G06F13/00,351@N 
A61M5/20"
10,特願2017-568246,特表2018-526060,"2016/06/29
2017/01/05
-",機械学習アルゴリズムを用いた転倒リスクの識別,アイシュー， インコーポレイテッド,"A61B5/11,210 
G06N99/00,150"
11,特願2017-563923,特表2018-518768,"2016/06/08
2016/12/15
-",医療環境におけるビデオの内容検索,インテュイティブ サージカル オペレーションズ， インコーポレイテッド,"G06Q50/22 
G16H20/00"
12,特願2017-552968,特表2018-517892,"2016/04/08
2016/10/13
-",結腸直腸癌と進行腺腫を検知するためのタンパク質バイオマーカーパネル,アプライド プロテオミクス，インク．,"G01N33/68 
G01N33/574@A 
G01N33/53@D 
他"
13,特願2015-053358,特開2016-173728,"2015/03/17
2016/09/29
-",予測モデル構築装置,ＫＤＤＩ株式会社,"G06Q50/22,130 
G06F19/00,100 
G06Q50/22 
他"
14,特願2015-034571,特開2016-154696,"2015/02/24
2016/09/01
-",患者の見守りシステム,パラマウントベッド株式会社,"A61B5/00,102@B 
G08B25/04@K"
15,特願2017-540738,特表2018-508259,"2016/02/02
2016/08/11
-",対象の組織を特徴付けるための方法およびシステム,ノバダック テクノロジーズ インコーポレイテッド,"A61B10/00@E 
G01N21/64@F 
A61B6/00,331@E 
他"
16,特願2017-530157,特表2017-536906,"2015/12/03
2016/06/23
2018/03/02",ウェアラブル医療デバイスに関する活動分類及び通信システム,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/10,310@A 
A61B5/00,102@C 
A61B5/11"
17,特願2017-530665,特表2018-505705,"2015/11/20
2016/06/16
-",機械学習を用いた医用イメージングの変換のためのシステムおよび方法,ケース ウェスタン リザーブ ユニバーシティ 他,"A61B5/05,380 
A61B6/03,377 
A61B6/03,360@Q 
他"
18,特願2017-527860,特表2017-535363,"2015/11/16
2016/06/02
-",磁気共鳴フィンガープリントデータ収集及び分析システム,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/05,390 
A61B5/05 
A61B5/05 
他"
19,特願2017-519619,特表2018-503885,"2015/11/13
2016/05/19
-",医療前兆イベント予測,ゾール メディカル コーポレイション,"G06Q50/24 
A61B5/04,312@Q 
A61B5/04,312@A 
他"
