項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
1,特願2017-229327,特許6422142,"2017/11/29
2018/11/14
2018/10/26",受精卵の画像診断システム、受精卵の画像診断プログラム及び受精卵の画像診断方法。,宮木 康成,"C12Q1/02 
C12M1/34@A 
G06N99/00,153 
他"
2,特願2017-066477,特開2018-170629,"2017/03/29
2018/11/01
-",遠隔保守装置及び遠隔保守方法,京セラドキュメントソリューションズ株式会社,"H04N1/00,106@C 
B41J29/38@Z 
G03G15/00,480 
他"
3,特願2017-022515,特開2018-128933,"2017/02/09
2018/08/16
-",診断支援装置、診断支援方法および診断支援プログラム,株式会社ジェイマックシステム,"G06Q50/24 
A61B5/00@G 
G16H10/00 
他"
4,特願2017-016355,特開2018-121885,"2017/01/31
2018/08/09
-",画像処理装置、画像処理システム、および画像処理プログラム,株式会社ニデック,"A61B3/10@R 
A61B3/14@M 
G06T1/00,290@B 
他"
5,特願2016-222310,特開2018-079000,"2016/11/15
2018/05/24
-",超音波診断装置、及び画像処理装置,株式会社日立製作所,A61B8/14
6,特願2017-103129,特許6307680,"2017/05/24
2018/04/11
2018/03/23",植物の健康診断システム,株式会社グリーンプラネット・バイオテック 他,"A01G7/00,603 
G06Q50/02 
G01N21/27@A"
7,特願2016-180742,特開2018-042812,"2016/09/15
2018/03/22
-",健康管理システム及びそのプログラム,東芝情報システム株式会社,"A61B5/00@D 
A61B5/00,101@A 
A61B5/00,102@C"
8,特願2017-081415,特開2018-041434,"2017/04/17
2018/03/15
2018/08/31",診断支援装置、及び診断支援装置における画像処理方法、並びにプログラム,カシオ計算機株式会社,"G06T7/00,614 
A61B5/00@M 
G06T1/00,290@Z 
他"
9,特願2016-161579,特開2018-027273,"2016/08/19
2018/02/22
-",糖尿病網膜症の病期判定支援システムおよび糖尿病網膜症の病期の判定を支援する方法,学校法人自治医科大学,A61B3/14@M
10,特願2016-138000,特開2018-007792,"2016/07/12
2018/01/18
-",表情認知診断支援装置,株式会社コンフォートビジョン研究所,"A61B10/00@H 
A61B5/10,300@A 
A61B5/107"
11,特願2017-020290,特開2017-200565,"2017/02/07
2017/11/09
-",動態解析装置及び動態解析システム,コニカミノルタ株式会社,"A61B6/00,330@A 
A61B6/00,350@C"
12,特願2016-067147,特開2017-176400,"2016/03/30
2017/10/05
-",動態解析装置、動態解析システム、動態解析方法及びプログラム,コニカミノルタ株式会社,"A61B6/00,330@A 
A61B6/00,350@C"
13,特願2017-021034,特開2017-159027,"2017/02/08
2017/09/14
-",超音波診断装置及び超音波診断支援装置,東芝メディカルシステムズ株式会社,A61B8/14
14,特願2015-243040,特開2017-108769,"2015/12/14
2017/06/22
-",画像処理装置、画像処理方法、および、画像処理装置を備える超音波診断装置,コニカミノルタ株式会社,"A61B8/14 
G06T1/00,290@D 
G06T7/00,612"
15,特願2018-517540,特表2018-529474,"2016/10/07
2017/04/13
-",特定のコントラスト機構を用いて構造的空間周波数を評価するための選択的サンプリング,バイオプロトニクス リミテッド ライアビリティー カンパニー,"A61B5/055,311"
16,特願2017-543559,再表2017/057573,"2016/09/29
2017/04/06
-",画像処理装置、内視鏡システム、及び画像処理方法,富士フイルム株式会社,"A61B1/045,617 
G02B23/24@B 
A61B1/045,618 
他"
17,特願2017-543558,再表2017/057572,"2016/09/29
2017/04/06
-",画像処理装置、内視鏡システム、及び画像処理方法,富士フイルム株式会社,"A61B1/045,617 
G02B23/24@B 
A61B1/045,618 
他"
18,特願2018-512873,特表2018-533123,"2016/09/12
2017/03/16
-",統合された臨床ケアのための情報科学プラットフォーム,エフ．ホフマン－ラ ロシュ アーゲー,"G06Q50/22 
G16H20/00"
19,特願2018-505708,特表2018-532441,"2016/07/22
2017/02/09
-",脳腫瘍を分類するための視覚表現学習,シーメンス アクティエンゲゼルシャフト,"A61B1/045,614 
A61B10/00@T 
A61B5/00@G 
他"
20,特願2016-102512,特開2016-221264,"2016/05/23
2016/12/28
2018/07/13",知識ベース超音波画像強調,シーメンス コーポレーション 他,"A61B8/14 
G06T1/00,290@D 
G06T7/00,350@B 
他"
21,特願2017-562070,特表2018-516135,"2016/05/20
2016/12/08
-",がん悪性度マップにより拡張された精密診断及び治療に対するシステム及び方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61B8/08 
A61B8/12"
22,特願2015-080251,特開2016-200955,"2015/04/09
2016/12/01
-",情報処理装置、プログラム、推定方法,株式会社リコー,"G06Q50/22,130 
G06Q10/06,130 
G06Q10/06,302 
他"
23,特願2015-079055,特開2016-198197,"2015/04/08
2016/12/01
2018/08/10",診断支援システム,株式会社エクスメディオ,"A61B5/00@G 
A61B6/00,360@Z 
G06Q50/24,140 
他"
24,特願2017-561292,特表2018-517209,"2016/05/25
2016/12/01
-",画像分析システムおよび関連する方法,トキタエ エルエルシー,"G06T7/00,612 
G01N33/48@M 
G01N33/49@H 
他"
25,特願2015-063103,特開2016-184224,"2015/03/25
2016/10/20
2018/04/20",細胞診断支援装置、細胞診断支援方法、遠隔診断支援システム、及びサービス提供システム,株式会社日立ハイテクノロジーズ,"G06T1/00,295 
G01N33/48@M 
G06T7/00,630"
26,特願2017-551099,特表2018-517958,"2016/04/01
2016/10/06
-",生理的特性、解剖学的特性、及び患者特性から灌流障害を予測するためのシステム及び方法,ハートフロー， インコーポレイテッド,"G06Q50/22 
A61B5/02,800 
G16H20/00 
他"
27,特願2017-550761,特表2018-515164,"2016/03/24
2016/10/06
-",画像分類を用いた脳腫瘍自動診断方法および脳腫瘍自動診断システム,シーメンス アクチエンゲゼルシヤフト,"A61B1/045,614 
A61B1/00,525 
G06T7/00,630"
28,特願2017-546932,特表2018-512128,"2016/03/06
2016/09/15
-",アルツハイマー病集団を含む集団を分類するための方法,ブランシェット・ロックフェラー・ニューロサイエンスィズ・インスティテュート,"C12Q1/04 
G01N33/68"
29,特願2015-166101,特開2016-144626,"2015/08/25
2016/08/12
2018/05/11",画像処理装置及び画像処理方法、並びに内視鏡システム,富士フイルム株式会社,"A61B1/04,370 
A61B1/04 
A61B1/045,614 
他"
30,特願2017-530665,特表2018-505705,"2015/11/20
2016/06/16
-",機械学習を用いた医用イメージングの変換のためのシステムおよび方法,ケース ウェスタン リザーブ ユニバーシティ 他,"A61B5/05,380 
A61B6/03,377 
A61B6/03,360@Q 
他"
31,特願2017-519619,特表2018-503885,"2015/11/13
2016/05/19
-",医療前兆イベント予測,ゾール メディカル コーポレイション,"G06Q50/24 
A61B5/04,312@Q 
A61B5/04,312@A 
他"
32,特願2017-522653,特表2017-534117,"2015/10/22
2016/05/12
-",最適化された解剖学的関心構造ラベリング,コーニンクレッカ フィリップス エヌ ヴェ,"G06Q50/24 
A61B5/00@D 
G16H10/00"
33,特願2015-102277,特開2015-144929,"2015/05/19
2015/08/13
2018/03/23",診断支援装置、診断支援装置の作動方法、及び診断支援システム,キヤノン株式会社,"A61B6/00,350@D 
A61B6/00,360@Z"
34,特願2014-004526,特開2015-131023,"2014/01/14
2015/07/23
2018/03/09",磁気共鳴イメージング装置,株式会社東芝 他,"A61B5/05,382 
A61B5/055,382"
35,特願2013-261700,特開2015-116331,"2013/12/18
2015/06/25
2017/07/28",超音波診断装置、医用画像診断装置および検査手順発生プログラム,株式会社東芝 他,A61B8/00
36,特願2016-539043,特表2017-503548,"2014/11/28
2015/06/25
-",自動超音波ビームステアリング及びニードルアーチファクト抑制,コーニンクレッカ フィリップス エヌ ヴェ,A61B8/14
37,特願2016-536240,特表2016-538944,"2014/11/24
2015/06/11
-",効率的治療計画トレードオフ分析,コーニンクレッカ フィリップス エヌ ヴェ,A61N5/10@P
38,特願2014-185569,特開2015-103243,"2014/09/11
2015/06/04
-",医用情報処理装置、医用情報処理方法、画像診断システム、コンピュータ可読記憶媒体および情報処理装置,株式会社東芝 他,"A61B5/00@D 
G06Q50/24,120 
G06Q50/24 
他"
39,特願2014-164672,特開2015-061591,"2014/08/13
2015/04/02
2018/03/16",超音波診断装置、超音波診断方法、及び、プログラムを格納したコンピュータ読み取り可能な非一時的な記録媒体,コニカミノルタ株式会社,"A61B8/08 
A61B8/14"
40,特願2016-543466,特表2016-531709,"2013/09/20
2015/03/26
-",疾患を診断するための画像解析技術,トランスムラル・バイオテック・ソシエダ・リミターダ,"A61B8/14 
G06T1/00,290@D 
G06T7/00,612"
41,特願2013-169527,特開2015-037491,"2013/08/19
2015/02/26
2017/08/18",超音波診断装置、超音波画像解析方法、およびプログラム,コニカミノルタ株式会社,A61B8/08
42,特願2016-502903,特表2016-517595,"2014/03/14
2014/09/18
2017/12/08",個別化医療における情報の電子配信,１２ディーエックス インコーポレイテッド 他,"G06Q50/22 
G16H20/00"
43,特願2015-559269,特表2016-507759,"2014/02/25
2014/08/28
2017/10/13",細胞ベースの組織解析,フラッグシップ バイオサイエンシズ エルエルシー 他,"G01N21/27@A 
G01N33/48@M 
G01N33/48@P"
44,特願2015-537418,特表2016-502697,"2013/10/17
2014/04/24
-",輸送手段への攻撃の検出および防止のためのデバイス,タワー－セク・リミテッド,"G06F21/55 
B60R16/02,660@Q"
45,特願2012-060587,特開2013-192624,"2012/03/16
2013/09/30
2016/01/15",医用画像診断支援装置、医用画像診断支援方法ならびにコンピュータプログラム,株式会社日立製作所,"A61B5/05,380 
A61B6/03,360@D 
G06T1/00,290@B 
他"
46,特願2011-153433,特開2013-017660,"2011/07/12
2013/01/31
2013/10/11",舌診支援プログラム、舌診支援装置,平田 耕一 他,"A61B5/00@G 
A61B5/10,300@Z 
A61B5/107"
47,特願2010-219645,特開2012-073179,"2010/09/29
2012/04/12
2014/05/23",病理診断支援装置、病理診断支援方法、病理診断支援のための制御プログラムおよび該制御プログラムを記録した記録媒体,株式会社ＳＣＲＥＥＮホールディングス,"G01N33/48@M 
G06F17/60,126@Q 
G06Q50/24,140 
他"
48,特願2013-516834,特表2013-535014,"2011/06/24
2011/12/29
2016/10/07",生物学的試片をスペクトル画像により分析する方法,シレカ セラノスティクス エルエルシー 他,"G01N21/27@A 
G01N21/27@Z 
G01N21/35,105 
他"
49,特願2010-081000,特開2011-212094,"2010/03/31
2011/10/27
2013/07/19",診断支援システム、診断支援装置、診断支援方法および診断支援プログラム,富士フイルム株式会社,"A61B5/00@A 
A61B5/00@G"
50,特願2008-195408,特開2010-029482,"2008/07/29
2010/02/12
-",ＭＲＩを用いた脊椎・椎体病変の経過観察レポート自動作成診断支援システム,国立大学法人 筑波大学,"A61B5/05,390 
G06F17/60,126@K 
G06F17/60,126@Q 
他"
51,特願2008-195358,特開2010-029481,"2008/07/29
2010/02/12
-",腫瘍の経過観察レポート自動作成診断支援システム,国立大学法人 筑波大学 他,"A61B5/00@D 
A61B5/00@G 
A61B5/05,380 
他"
52,特願2008-074235,特開2009-229203,"2008/03/21
2009/10/08
2013/02/22",病理画像診断装置、病理画像診断方法及びプログラム,日本電気株式会社,"G01N33/48@P 
G01N33/48@Z 
G06T1/00,295 
他"
53,特願2007-016356,特開2008-185337,"2007/01/26
2008/08/14
2012/11/16",病理画像評価装置、病理画像評価方法、及び病理画像評価プログラム,日本電気株式会社,"G01N21/27@A 
G01N21/27@F 
G06T1/00,295 
他"
54,特願2009-519439,特表2009-543254,"2007/06/07
2008/01/17
2013/09/13",トランスダクティブデータ分類のための方法およびシステム、ならびに機械学習手法を用いたデータ分類方法,コファックス，インコーポレイテッド,"G06F17/30,210@D 
G06F19/00,130 
G06N3/00,560@A 
他"
55,特願2007-523213,特表2008-507372,"2005/07/21
2006/02/09
-",自動化された疑わしいオブジェクト境界判定のためのシステム及び方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/00@G 
A61B5/05,380 
A61B6/00,350@D 
他"
56,特願2007-505129,特表2007-530160,"2005/03/23
2005/10/13
-",医用画像のための自動決定支援を提供するシステムおよび方法,シーメンス メディカル ソリューションズ ユーエスエー インコーポレイテッド 他,"A61B5/00@G 
A61B8/00 
A61B8/14"
57,特願2006-552106,特表2007-527743,"2004/12/06
2005/09/01
-",心臓関連の病気及び状態のための自動診断及び意思決定支援用システム及び方法,シーメンス メディカル ソリューションズ ユーエスエー インコーポレイテッド 他,"A61B5/05,380 
A61B6/00,331@A 
A61B6/03,360@J 
他"
