,0,原文,課題分野
0,JPA_2018515164.pdf,,
1,JPA_2009229203.pdf,低倍率画像を対象として腺管構造を抽出すること,画像の目的領域抽出
2,JPA_2016198197.pdf,入力した患部画像に対応する疾患名を高い信頼性で提供可能な診断支援技術,機械学習による新規の診断方法の開発
3,JPA_2007526016.pdf,,
4,JPA_2013017660.pdf,迅速に舌画像を特定することができる舌診支援プログラム,画像の目的領域抽出
5,JPA_2007528746.pdf,,
6,JPA_2016144626.pdf,被検眼の画像を解析する場合、被検眼の疾患に応じて網膜の形態が大きく変化するため、画像解析ができない,画像の目的領域抽出
7,JPA_2018121885.pdf,染色画像が診断に適した画像であるか否かを判断することのできる病理画像評価装置,画像判定
8,JPA_2018128933.pdf,,
9,JPA_2008185337.pdf,腫瘍の経過観察レポート自動作成診断支援システム,レポート作成
10,JPA_2016538944.pdf,植物の様々な健康状態を簡単かつ適切に把握することのできる、植物の健康診断システム,機械学習による新規の診断方法の開発
11,JPA_2010029481.pdf,,
12,JPB_0006307680.pdf,住居において通常の生活している最中に自分を写し出した鏡内に医師の診断による健康病気情報が写し出され、自身の鏡像を見るときに自然に健康病気情報を得ることが可能な健康管理システム,健康管理
13,JPA_2016507759.pdf,,
14,JPA_2018042812.pdf,、血流画像中の血流のそれぞれを、その形状以外の要素についても評価することで、新生血管であるか否かの評価を、より確度の高い方法で行う画像処理装置,画像判定
15,JPA_2018505705.pdf,全体としてデータ分類のための方法および装置に関する。より詳細には、本発明は、改良されたトランスダクティブ機械学習法,学習アルゴリズムの改善
16,JPA_2017108769.pdf,,
17,JPA_2009543254.pdf,疾患部の違いを把握することを容易にし、精度の高い診断支援,機械学習による新規の診断方法の開発
18,JPA_2018529474.pdf,,
19,JPA_2018041434.pdf,,
20,JPA_2018516135.pdf,,
21,JPA_2007530160.pdf,,
22,JPA_2018532441.pdf,,
23,JPA_2018170629.pdf,機械学習を利用して多数の画像形成装置の効果的な遠隔保守を実現させる技術,保守
24,JPA_2015037491.pdf,認知症の比較的初期の症状の診断を支援するための表情認知診断支援装置,機械学習による新規の診断方法の開発
25,JPA_2013535014.pdf,ＭＲＩを用いた脊椎・椎体病変の経過観察レポート自動作成診断支援システム,レポート作成
26,JPA_2018007792.pdf,,
27,JPA_2017534117.pdf,,
28,JPA_2016517595.pdf,,
29,JPA_2010029482.pdf,ＭＲＩを用いた脊椎・椎体病変の経過観察レポート自動作成診断支援システム,レポート作成
30,JPA_2017503548.pdf,,
31,JPA_2018503885.pdf,,
32,JPA_2015061591.pdf,測定対象内の内部組織の形状が、プローブとの接触でデリケートに変化する場合に、適切なプローブ手技を促すことができる超音波診断装置,機械学習による新規の診断方法の開発
33,JPA_2007524461.pdf,,
34,JPA_2012073179.pdf,医師による病理診断をコンピュータシステム等によって支援する技術分野において、複数種の臓器に対応することで病理診断をより効果的に支援することができる技術,機械学習による新規の診断方法の開発
35,JPB_0006422142.pdf,主観的判断をすることなく、受精卵の画像データだけで正常児獲得の可否を予測可能な診断結果が得られる受精卵の画像診断システム,画像判定
36,JPA_2013192624.pdf,教師学習データが少ない場合でも高精度の識別条件（識別器）を作成して、病変部の判定の精度を向上させること,機械学習による新規の診断方法の開発
37,JPA_2018027273.pdf,眼底写真により糖尿病網膜症の病期を簡易的且つ定量的に評価することができる、糖尿病網膜症の病期判定支援システム,機械学習による新規の診断方法の開発
38,JPA_2018517209.pdf,,
39,JPA_2015116331.pdf,検査プロトコルを自動的に生成し、検査プロトコル実行機能の利用にあたり操作者に対する事前準備の労力を低減させること,機械学習による新規の診断方法の開発
40,JPA_2018517958.pdf,異常細胞(例：がん)のタイプや異常細胞(例：がん)の進行度合いにより組織や細胞が様々な形状を有する場合でも、１つの画像から組織・細胞判定を実現するための技術,画像判定
41,JPA_2018512128.pdf,,
42,JPA_2016184224.pdf,,
43,WOA12017057573.pdf,,
44,JPA_2017200565.pdf,胸部動態画像において肺血流機能を解析する際のノイズ抑制のための注目領域のサイズを適切なサイズに設定できるようにすること,画像の目的領域抽出
45,JPA_2008507372.pdf,,
46,JPA_2018079000.pdf,計測画像の選定を高精度に実現することができる超音波診断装置、及び画像処理装置を提供すること,機械学習による新規の診断方法の開発
47,JPA_2007527743.pdf,,
48,JPA_2011212094.pdf,かかる課題に鑑み、確定診断の有無に応じて、診断内容に適したＣＡＤ装置を選択することのできる診断支援システム、診断支援装置,機械学習による新規の診断方法の開発
49,JPA_2016502697.pdf,,
50,JPA_2015144929.pdf,診断支援の診断目的に応じて必要となる画質で画像データを取り込むことを可能とし、効率的な画像転送を実現可能とすること,
51,JPA_2016200955.pdf,,
52,JPA_2016221264.pdf,,
53,WOA12017057572.pdf,,
54,JPA_2017159027.pdf,手動でプローブを移動させることに起因する上記の様々な課題を解決することができる超音波診断装置,機械学習による新規の診断方法の開発
55,JPA_2015103243.pdf,入力される数値の妥当性を確認することができる医用情報処理装置、,
56,JPA_2017176400.pdf,動態画像におけるノイズ除去精度を向上させること,画像の目的領域抽出
